ID заказа,Дата отправки,Расстояние (км),Опыт водителя (лет),Вес груза (кг),Тип груза,Погодные условия,Сезон,Время суток,День недели,Задержка доставки (дней),Группа опыта
OR77895,2020-08-15,407,11,7048,Обычный,Ясно,Лето,День,Суббота,0,11-20
OD61096,2020-08-15,403,8,11190,Обычный,Дождь,Лето,Утро,Суббота,0,6-10
OD16351,2020-08-15,945,10,9104,Обычный,Ясно,Лето,Вечер,Суббота,0,6-10
OD97043,2020-08-16,930,8,16774,Обычный,Шторм,Лето,Вечер,Воскресенье,0,6-10
OD80328,2020-08-16,504,7,6736,Обычный,Ясно,Лето,Ночь,Воскресенье,0,6-10
OR31729,2020-08-16,594,11,13053,Обычный,Дождь,Лето,Утро,Воскресенье,0,11-20
DL39146,2020-08-16,723,16,11027,Опасный,Дождь,Лето,День,Воскресенье,0,11-20
DL54650,2020-08-16,488,7,10282,Хрупкий,Ясно,Лето,Утро,Воскресенье,0,6-10
DL23809,2020-08-16,1330,12,13872,Опасный,Ясно,Лето,Ночь,Воскресенье,1,11-20
OD39497,2020-08-16,1122,12,10857,Хрупкий,Дождь,Лето,Вечер,Воскресенье,1,11-20
OD41396,2020-08-16,436,12,9935,Замороженный,Ясно,Лето,День,Воскресенье,0,11-20
OR15770,2020-08-17,788,11,10140,Обычный,Ясно,Лето,Ночь,Понедельник,0,11-20
DL82288,2020-08-17,542,8,14154,Опасный,Дождь,Лето,Вечер,Понедельник,0,6-10
OR13845,2020-08-17,508,10,13476,Обычный,Ясно,Лето,День,Понедельник,0,6-10
DL72442,2020-08-18,1158,16,10558,Хрупкий,Ясно,Лето,Вечер,Вторник,0,11-20
OR95825,2020-08-18,524,10,13230,Обычный,Дождь,Лето,Утро,Вторник,0,6-10
OD90974,2020-08-18,2015,29,36095,Опасный,Ясно,Лето,Ночь,Вторник,5,21-30
OD78821,2020-08-18,1434,23,18755,Замороженный,Ясно,Лето,Ночь,Вторник,2,21-30
OD20647,2020-08-18,1782,27,23349,Обычный,Ясно,Лето,День,Вторник,4,21-30
OR10816,2020-08-18,651,9,13524,Обычный,Дождь,Лето,Утро,Вторник,0,6-10
OD73482,2020-08-18,911,12,12299,Обычный,Ясно,Лето,Вечер,Вторник,0,11-20
OD70461,2020-08-18,1902,28,22887,Обычный,Ясно,Лето,Утро,Вторник,4,21-30
OD64117,2020-08-19,448,10,7721,Хрупкий,Дождь,Лето,Вечер,Среда,0,6-10
DL47354,2020-08-19,970,,6816,Обычный,Дождь,Лето,Ночь,Среда,0,
DL13973,2020-08-19,522,15,9293,Хрупкий,Ясно,Лето,День,Среда,0,11-20
DL75815,2020-08-19,958,16,9996,Обычный,Ясно,Лето,Утро,Среда,0,11-20
OR28470,2020-08-19,562,14,10169,Обычный,Дождь,Лето,День,Среда,0,11-20
DL20888,2020-08-19,972,15,14471,Обычный,Дождь,Лето,Вечер,Среда,0,11-20
OR92862,2020-08-20,1182,26,26908,Замороженный,Ясно,Лето,Утро,Четверг,3,21-30
OD16310,2020-08-20,386,15,14520,Обычный,Ясно,Лето,День,Четверг,0,11-20
OR74194,2020-08-20,1180,17,15112,Опасный,Ясно,Лето,Утро,Четверг,1,11-20
OR43210,2020-08-20,471,8,13799,Обычный,Дождь,Лето,Вечер,Четверг,0,6-10
OR51974,2020-08-20,434,9,15298,Замороженный,Дождь,Лето,Вечер,Четверг,0,6-10
OR86234,2020-08-21,923,15,13007,Замороженный,Дождь,Лето,Ночь,Пятница,0,11-20
OR11771,2020-08-21,2106,,26238,Обычный,Ясно,Лето,Вечер,Пятница,5,
DL13606,2020-08-21,1328,14,15467,Хрупкий,Ясно,Лето,День,Пятница,0,11-20
OR99948,2020-08-21,835,,13345,Хрупкий,Дождь,Лето,День,Пятница,0,
DL28213,2020-08-22,1015,13,12970,Хрупкий,Ясно,Лето,Ночь,Суббота,0,11-20
OR89974,2020-08-22,1301,24,22267,Обычный,Ясно,Лето,Ночь,Суббота,3,21-30
DL14077,2020-08-22,1013,12,14686,Обычный,Ясно,Лето,День,Суббота,0,11-20
DL88443,2020-08-23,838,14,9875,Обычный,Дождь,Лето,День,Воскресенье,0,11-20
DL19445,2020-08-23,1262,,10140,Обычный,Ясно,Лето,День,Воскресенье,0,
OD70916,2020-08-23,959,13,10422,Хрупкий,Ясно,Лето,День,Воскресенье,0,11-20
DL13772,2020-08-23,605,13,11271,Обычный,Ясно,Лето,Ночь,Воскресенье,0,11-20
OD98295,2020-08-23,1027,13,16334,Хрупкий,Ясно,Лето,Утро,Воскресенье,0,11-20
DL38226,2020-08-23,500,11,15590,Хрупкий,Дождь,Лето,Вечер,Воскресенье,0,11-20
OR73814,2020-08-23,826,13,15202,Обычный,Ясно,Лето,Ночь,Воскресенье,0,11-20
OR10833,2020-08-23,1704,25,21055,Обычный,Туман,Лето,Утро,Воскресенье,3,21-30
OD94231,2020-08-24,1039,11,8012,Обычный,Дождь,Лето,День,Понедельник,0,11-20
DL67586,2020-08-24,909,14,9509,Обычный,Дождь,Лето,День,Понедельник,0,11-20
OR77439,2020-08-24,807,13,10831,Хрупкий,Шторм,Лето,День,Понедельник,1,11-20
DL89449,2020-08-24,760,14,10564,Обычный,Ясно,Лето,Вечер,Понедельник,0,11-20
OR99778,2020-08-25,1146,23,20630,Опасный,Ясно,Лето,Ночь,Вторник,3,21-30
OR19730,2020-08-25,771,13,15620,Обычный,Дождь,Лето,Вечер,Вторник,0,11-20
OD72152,2020-08-25,1808,23,23235,Хрупкий,Ясно,Лето,День,Вторник,3,21-30
DL29802,2020-08-26,722,16,15940,Опасный,Туман,Лето,Вечер,Среда,0,11-20
OR23739,2020-08-26,1960,25,19770,Обычный,Ясно,Лето,Вечер,Среда,3,21-30
DL83005,2020-08-26,1040,14,17813,Хрупкий,Дождь,Лето,Вечер,Среда,1,11-20
OD47311,2020-08-26,1062,13,14809,Хрупкий,Ясно,Лето,Вечер,Среда,0,11-20
OD70747,2020-08-26,762,13,9933,Обычный,Ясно,Лето,Утро,Среда,0,11-20
OD38194,2020-08-26,1118,13,8554,Опасный,Дождь,Лето,Утро,Среда,0,11-20
OD26025,2020-08-27,907,17,16072,Опасный,Ясно,Лето,День,Четверг,1,11-20
OR40045,2020-08-27,1137,8,8797,Обычный,Ясно,Лето,Ночь,Четверг,0,6-10
DL59357,2020-08-27,869,,8895,Опасный,Ясно,Лето,Ночь,Четверг,0,
OR91219,2020-08-28,1153,10,13375,Замороженный,Ясно,Лето,Утро,Пятница,0,6-10
OR92645,2020-08-28,1029,10,6853,Обычный,Дождь,Лето,День,Пятница,0,6-10
OR18565,2020-08-28,721,16,7829,Хрупкий,Дождь,Лето,Вечер,Пятница,0,11-20
OR46358,2020-08-29,968,15,9374,Хрупкий,Ясно,Лето,Вечер,Суббота,0,11-20
DL83390,2020-08-29,989,9,6915,Обычный,Шторм,Лето,Утро,Суббота,0,6-10
OR87806,2020-08-29,1477,,19253,Замороженный,Ясно,Лето,Вечер,Суббота,3,
OD84142,2020-08-30,1465,28,23727,Опасный,Ясно,Лето,Ночь,Воскресенье,3,21-30
OD87185,2020-08-30,699,10,9883,Замороженный,,Лето,Вечер,Воскресенье,0,6-10
OR92912,2020-08-30,401,9,12119,Обычный,Ясно,Лето,День,Воскресенье,0,6-10
OR23050,2020-08-30,1788,21,24482,Обычный,Дождь,Лето,Утро,Воскресенье,3,21-30
OR47771,2020-08-30,1429,11,20192,Обычный,Шторм,Лето,Утро,Воскресенье,1,11-20
DL76191,2020-08-30,1908,36,32423,Опасный,Дождь,Лето,День,Воскресенье,5,30+
OD37049,2020-08-31,713,12,12904,Опасный,Ясно,Лето,Утро,Понедельник,0,11-20
DL11985,2020-08-31,1313,19,22336,Замороженный,Ясно,Лето,Вечер,Понедельник,2,11-20
DL41295,2020-08-31,859,18,18941,Обычный,Ясно,Лето,Вечер,Понедельник,2,11-20
OD91263,2020-09-01,2200,34,27737,Обычный,Дождь,Осень,Вечер,Вторник,5,30+
DL57500,2020-09-01,389,11,14173,Хрупкий,Ясно,Осень,День,Вторник,0,11-20
OD40281,2020-09-01,685,7,11785,Обычный,Ясно,Осень,Ночь,Вторник,0,6-10
DL27741,2020-09-02,831,7,7482,Обычный,,Осень,Утро,Среда,0,6-10
OD63024,2020-09-02,931,23,23520,Опасный,Дождь,Осень,День,Среда,2,21-30
DL72858,2020-09-02,1134,24,16779,Хрупкий,Дождь,Осень,Вечер,Среда,2,21-30
OR98772,2020-09-02,413,16,7807,Обычный,Ясно,Осень,Вечер,Среда,0,11-20
DL70204,2020-09-03,680,10,9789,Замороженный,Туман,Осень,День,Четверг,0,6-10
OD52556,2020-09-04,775,9,12763,Хрупкий,Дождь,Осень,Утро,Пятница,0,6-10
OD91569,2020-09-04,934,10,10952,Опасный,Ясно,Осень,Ночь,Пятница,0,6-10
OD90074,2020-09-04,1812,28,26631,Замороженный,Дождь,Осень,День,Пятница,3,21-30
OR79842,2020-09-05,1814,27,23054,Обычный,Дождь,Осень,Утро,Суббота,4,21-30
DL60213,2020-09-05,656,8,11334,Хрупкий,Ясно,Осень,Ночь,Суббота,0,6-10
OR55988,2020-09-05,438,14,6447,Хрупкий,Дождь,Осень,День,Суббота,0,11-20
OR58692,2020-09-06,1160,13,14095,Хрупкий,Ясно,Осень,Утро,Воскресенье,0,11-20
DL93188,2020-09-06,500,10,10538,Хрупкий,Ясно,Осень,Вечер,Воскресенье,0,6-10
DL86397,2020-09-06,545,8,6285,Хрупкий,Ясно,Осень,Утро,Воскресенье,0,6-10
DL92567,2020-09-06,693,15,14118,Обычный,Ясно,Осень,Ночь,Воскресенье,0,11-20
DL96674,2020-09-06,1171,11,13929,Обычный,Ясно,Осень,Ночь,Воскресенье,0,11-20
OD79727,2020-09-06,560,12,9906,Замороженный,Туман,Осень,Ночь,Воскресенье,0,11-20
OR22184,2020-09-07,868,15,7815,Опасный,Ясно,Осень,Вечер,Понедельник,0,11-20
DL12724,2020-09-07,967,12,7825,Хрупкий,Дождь,Осень,День,Понедельник,0,11-20
DL95186,2020-09-07,607,13,12636,Обычный,Дождь,Осень,Вечер,Понедельник,0,11-20
OD89902,2020-09-07,487,14,13087,Обычный,Дождь,Осень,Вечер,Понедельник,0,11-20
DL64544,2020-09-07,1008,14,13392,Хрупкий,Ясно,Осень,Ночь,Понедельник,0,11-20
OR45090,2020-09-07,1463,20,18186,Обычный,Дождь,Осень,Ночь,Понедельник,2,11-20
OR40858,2020-09-07,606,15,9361,Обычный,Ясно,Осень,Утро,Понедельник,0,11-20
OR71420,2020-09-07,1609,28,22589,Хрупкий,Ясно,Осень,День,Понедельник,3,21-30
OR41058,2020-09-07,753,,7716,Обычный,Ясно,Осень,Утро,Понедельник,0,
OD48028,2020-09-08,850,14,7000,Опасный,Дождь,Осень,Утро,Вторник,0,11-20
OR93432,2020-09-08,522,8,14778,Обычный,Дождь,Осень,Ночь,Вторник,0,6-10
OR11344,2020-09-08,1064,16,8438,Хрупкий,Туман,Осень,День,Вторник,0,11-20
OD76238,2020-09-08,704,,15865,Хрупкий,Ясно,Осень,Вечер,Вторник,0,
DL50893,2020-09-08,1268,20,24181,Обычный,Ясно,Осень,Вечер,Вторник,2,11-20
OR78525,2020-09-08,528,10,6766,Обычный,Дождь,Осень,Ночь,Вторник,0,6-10
OR94596,2020-09-09,420,,14612,Опасный,Ясно,Осень,Вечер,Среда,0,
OD50900,2020-09-09,993,16,23459,Хрупкий,Ясно,Осень,Вечер,Среда,2,11-20
DL49683,2020-09-09,646,13,6697,Обычный,Туман,Осень,Вечер,Среда,0,11-20
DL95875,2020-09-09,600,11,12178,Обычный,Ясно,Осень,Утро,Среда,0,11-20
OD56083,2020-09-09,462,,15350,Обычный,Ясно,Осень,Вечер,Среда,0,
OR45878,2020-09-10,1701,22,15515,Обычный,Ясно,Осень,Вечер,Четверг,2,21-30
DL75288,2020-09-10,992,8,11241,Обычный,Ясно,Осень,День,Четверг,0,6-10
OD11139,2020-09-10,1188,10,6697,Обычный,Ясно,Осень,Вечер,Четверг,0,6-10
OR46845,2020-09-11,720,8,8875,Хрупкий,Туман,Осень,Утро,Пятница,0,6-10
DL96051,2020-09-11,888,13,7478,Обычный,Ясно,Осень,Ночь,Пятница,0,11-20
OR43026,2020-09-11,1510,21,23011,Опасный,Снег,Осень,День,Пятница,2,21-30
OR25025,2020-09-11,759,14,10761,Хрупкий,Ясно,Осень,Утро,Пятница,0,11-20
OD89561,2020-09-12,1280,17,17768,Замороженный,Дождь,Осень,Вечер,Суббота,2,11-20
OR30032,2020-09-13,786,13,11520,Замороженный,Ясно,Осень,Ночь,Воскресенье,0,11-20
DL49666,2020-09-13,1599,15,15508,Опасный,Дождь,Осень,Утро,Воскресенье,2,11-20
OR16318,2020-09-13,555,10,7956,Хрупкий,Ясно,Осень,Утро,Воскресенье,0,6-10
OD86168,2020-09-13,846,16,6271,Опасный,Туман,Осень,День,Воскресенье,0,11-20
OR11670,2020-09-14,2189,28,27888,Замороженный,Туман,Осень,Ночь,Понедельник,4,21-30
OR97074,2020-09-14,1460,18,16996,Опасный,Ясно,Осень,Ночь,Понедельник,2,11-20
DL16918,2020-09-14,514,16,8137,Обычный,Ясно,Осень,Утро,Понедельник,0,11-20
DL73846,2020-09-15,757,14,6534,Обычный,Дождь,Осень,Вечер,Вторник,0,11-20
DL46291,2020-09-15,1008,15,15194,Опасный,Ясно,Осень,День,Вторник,0,11-20
OR81102,2020-09-15,1935,29,30393,Хрупкий,Снег,Осень,Ночь,Вторник,4,21-30
OD22134,2020-09-15,861,10,16394,Обычный,Ясно,Осень,Вечер,Вторник,0,6-10
DL35445,2020-09-15,991,,11859,Опасный,Дождь,Осень,Вечер,Вторник,1,
OD61233,2020-09-15,1455,23,23166,Опасный,Ясно,Осень,Ночь,Вторник,3,21-30
DL15087,2020-09-16,1422,20,18409,Опасный,Дождь,Осень,День,Среда,2,11-20
DL73556,2020-09-17,445,12,13607,Опасный,Туман,Осень,Ночь,Четверг,0,11-20
OD80733,2020-09-17,1739,20,28735,Обычный,Дождь,Осень,День,Четверг,3,11-20
DL67434,2020-09-17,436,15,14174,Хрупкий,Ясно,Осень,Ночь,Четверг,0,11-20
OR51520,2020-09-17,1611,28,18010,Опасный,Туман,Осень,Вечер,Четверг,3,21-30
DL47612,2020-09-18,1085,14,6511,Опасный,Ясно,Осень,Ночь,Пятница,0,11-20
OD87573,2020-09-18,2087,30,25974,Опасный,Ясно,Осень,День,Пятница,5,21-30
OR18084,2020-09-18,1124,14,11664,Опасный,Дождь,Осень,День,Пятница,1,11-20
OD96324,2020-09-19,1987,21,26287,Обычный,Туман,Осень,День,Суббота,3,21-30
OR25135,2020-09-19,1106,10,9348,Обычный,Туман,Осень,Вечер,Суббота,0,6-10
OD17218,2020-09-19,764,12,6984,Обычный,Дождь,Осень,Ночь,Суббота,0,11-20
DL58646,2020-09-19,430,13,6739,Опасный,Ясно,Осень,Ночь,Суббота,0,11-20
OD47288,2020-09-19,1407,16,17159,Обычный,Ясно,Осень,День,Суббота,2,11-20
OD44725,2020-09-20,871,10,12514,Обычный,Ясно,Осень,День,Воскресенье,0,6-10
OD84201,2020-09-20,1486,17,20463,Замороженный,Туман,Осень,Утро,Воскресенье,2,11-20
OR29224,2020-09-20,1249,18,18688,Хрупкий,Туман,Осень,Ночь,Воскресенье,1,11-20
OR12361,2020-09-20,379,7,6284,Опасный,Ясно,Осень,Ночь,Воскресенье,0,6-10
DL51358,2020-09-20,652,11,6340,Обычный,Туман,Осень,День,Воскресенье,0,11-20
OR77270,2020-09-20,1038,14,10957,Опасный,Ясно,Осень,Утро,Воскресенье,0,11-20
OD18165,2020-09-21,1058,12,15785,Замороженный,Дождь,Осень,Ночь,Понедельник,0,11-20
DL62546,2020-09-21,461,12,10202,Обычный,Ясно,Осень,Ночь,Понедельник,0,11-20
DL62296,2020-09-21,1941,21,21853,Хрупкий,Ясно,Осень,Вечер,Понедельник,3,21-30
OR82516,2020-09-21,2086,36,33280,Обычный,Дождь,Осень,Ночь,Понедельник,6,30+
OR83960,2020-09-21,1751,30,29890,Обычный,Туман,Осень,Ночь,Понедельник,4,21-30
OD94213,2020-09-21,413,11,14171,Опасный,Дождь,Осень,Ночь,Понедельник,0,11-20
DL20215,2020-09-22,1707,21,27069,Опасный,Ясно,Осень,День,Вторник,3,21-30
OR15942,2020-09-22,1087,15,7018,Обычный,Снег,Осень,Утро,Вторник,0,11-20
DL93403,2020-09-22,784,14,6997,Хрупкий,Дождь,Осень,Вечер,Вторник,0,11-20
OR84937,2020-09-23,980,10,18424,Хрупкий,Ясно,Осень,Вечер,Среда,0,6-10
DL77036,2020-09-23,1803,36,30848,Опасный,Снег,Осень,Утро,Среда,5,30+
OR16018,2020-09-23,602,15,9085,Обычный,Туман,Осень,День,Среда,0,11-20
OD24488,2020-09-23,687,11,14213,Обычный,Ясно,Осень,Утро,Среда,0,11-20
OD74908,2020-09-23,515,13,7812,Обычный,Ясно,Осень,Ночь,Среда,0,11-20
OR84234,2020-09-23,541,,6730,Обычный,Ясно,Осень,Утро,Среда,0,
OD41007,2020-09-23,929,9,8855,Хрупкий,Ясно,Осень,Вечер,Среда,0,6-10
DL21872,2020-09-24,743,7,12267,Опасный,Ясно,Осень,Вечер,Четверг,0,6-10
DL60095,2020-09-24,729,15,14073,Хрупкий,Ясно,Осень,Вечер,Четверг,0,11-20
OD74091,2020-09-24,1033,10,9610,Опасный,Ясно,Осень,Утро,Четверг,0,6-10
OD29220,2020-09-24,488,10,17296,Обычный,Ясно,Осень,Ночь,Четверг,0,6-10
DL35475,2020-09-25,1868,,29860,Обычный,Туман,Осень,Вечер,Пятница,5,
DL98972,2020-09-25,959,10,6194,Хрупкий,Ясно,Осень,Утро,Пятница,0,6-10
DL20404,2020-09-25,647,15,14296,Опасный,Ясно,Осень,День,Пятница,0,11-20
DL67755,2020-09-25,1599,23,23226,Замороженный,Ясно,Осень,Вечер,Пятница,2,21-30
DL76702,2020-09-25,821,13,14860,Замороженный,Дождь,Осень,День,Пятница,0,11-20
DL60024,2020-09-26,409,9,9400,Обычный,Ясно,Осень,День,Суббота,0,6-10
OR38700,2020-09-26,397,14,7374,Опасный,Снег,Осень,Вечер,Суббота,0,11-20
DL69785,2020-09-26,992,16,6253,Замороженный,Ясно,Осень,Утро,Суббота,0,11-20
OR35193,2020-09-26,1012,18,13948,Обычный,Дождь,Осень,День,Суббота,1,11-20
OR10800,2020-09-27,1642,30,31893,Обычный,Туман,Осень,Ночь,Воскресенье,5,21-30
OR66442,2020-09-28,1703,27,26487,Хрупкий,Ясно,Осень,Вечер,Понедельник,3,21-30
DL50844,2020-09-28,1038,13,9314,Хрупкий,Ясно,Осень,Вечер,Понедельник,0,11-20
OD58724,2020-09-28,1301,12,6937,Замороженный,Ясно,Осень,Вечер,Понедельник,0,11-20
OR31267,2020-09-28,1535,20,14579,Хрупкий,Дождь,Осень,Утро,Понедельник,2,11-20
DL56379,2020-09-28,1012,17,16668,Обычный,Ясно,Осень,Утро,Понедельник,2,11-20
OD40958,2020-09-28,823,8,13730,Обычный,Дождь,Осень,День,Понедельник,0,6-10
DL64273,2020-09-28,658,13,16301,Опасный,Дождь,Осень,Утро,Понедельник,0,11-20
OR57682,2020-09-29,619,8,16115,Замороженный,Ясно,Осень,Вечер,Вторник,0,6-10
DL14855,2020-09-29,1091,20,17717,Обычный,Дождь,Осень,Утро,Вторник,2,11-20
DL90317,2020-09-29,705,13,9711,Опасный,Ясно,Осень,Утро,Вторник,0,11-20
DL47684,2020-09-30,668,8,11135,Обычный,Туман,Осень,Вечер,Среда,0,6-10
OR89722,2020-09-30,968,9,15732,Опасный,Ясно,Осень,День,Среда,0,6-10
OR82146,2020-09-30,772,12,9142,Опасный,Ясно,Осень,Ночь,Среда,0,11-20
DL54424,2020-10-01,1096,8,14342,Обычный,Ясно,Осень,День,Четверг,0,6-10
OD58767,2020-10-01,690,,13171,Опасный,Ясно,Осень,Вечер,Четверг,0,
DL23653,2020-10-01,651,13,7779,Замороженный,Дождь,Осень,День,Четверг,0,11-20
OD36625,2020-10-01,568,13,13817,Обычный,Дождь,Осень,Утро,Четверг,0,11-20
DL71470,2020-10-01,1002,12,14014,Обычный,Ясно,Осень,День,Четверг,0,11-20
OD57154,2020-10-02,385,,10813,Хрупкий,Снег,Осень,Вечер,Пятница,0,
OD93207,2020-10-02,605,12,13014,Опасный,Снег,Осень,Вечер,Пятница,0,11-20
OR22372,2020-10-02,592,,12632,Обычный,Ясно,Осень,Ночь,Пятница,0,
DL65147,2020-10-02,957,8,13261,Обычный,Ясно,Осень,Утро,Пятница,0,6-10
OR67596,2020-10-02,579,14,7171,Хрупкий,Туман,Осень,Вечер,Пятница,0,11-20
OR25811,2020-10-03,551,10,12560,Опасный,Ясно,Осень,Ночь,Суббота,0,6-10
OD20333,2020-10-03,416,9,8047,Замороженный,Дождь,Осень,День,Суббота,0,6-10
OR94249,2020-10-03,1081,7,10939,Замороженный,Туман,Осень,Утро,Суббота,0,6-10
OR19855,2020-10-03,771,15,6328,Хрупкий,Ясно,Осень,Вечер,Суббота,0,11-20
OR78033,2020-10-04,859,15,10609,Хрупкий,Ясно,Осень,Утро,Воскресенье,0,11-20
OR70201,2020-10-04,822,13,11126,Опасный,Дождь,Осень,Ночь,Воскресенье,0,11-20
OD69157,2020-10-05,1907,25,20305,Опасный,Туман,Осень,Утро,Понедельник,3,21-30
DL11989,2020-10-05,770,,9749,Обычный,Ясно,Осень,Вечер,Понедельник,0,
OR37842,2020-10-05,651,7,6726,Опасный,Ясно,Осень,День,Понедельник,0,6-10
OR43005,2020-10-05,1621,20,20318,Опасный,Дождь,Осень,Ночь,Понедельник,3,11-20
DL67957,2020-10-05,737,,10252,Обычный,Ясно,Осень,Вечер,Понедельник,0,
OR79024,2020-10-06,738,12,10577,Обычный,,Осень,Утро,Вторник,0,11-20
OD59393,2020-10-07,1075,17,18166,Опасный,Дождь,Осень,Утро,Среда,2,11-20
DL74064,2020-10-07,408,10,8768,Обычный,Дождь,Осень,Ночь,Среда,0,6-10
DL35991,2020-10-07,2393,37,38207,Хрупкий,Дождь,Осень,День,Среда,6,30+
DL71198,2020-10-07,1017,12,11700,Опасный,Ясно,Осень,День,Среда,0,11-20
OR95673,2020-10-07,965,9,7619,Обычный,Дождь,Осень,День,Среда,0,6-10
DL15626,2020-10-07,1248,,15473,Хрупкий,Ясно,Осень,День,Среда,2,
OR64945,2020-10-07,1521,22,18540,Хрупкий,Дождь,Осень,Вечер,Среда,2,21-30
OR18672,2020-10-07,1423,,17387,Опасный,Туман,Осень,Утро,Среда,1,
OR46073,2020-10-08,724,14,11430,Обычный,Ясно,Осень,Вечер,Четверг,0,11-20
OD32684,2020-10-08,407,8,11463,Обычный,Ясно,Осень,Утро,Четверг,0,6-10
OR47313,2020-10-08,776,12,11575,Опасный,Ясно,Осень,Утро,Четверг,0,11-20
OD17099,2020-10-08,1735,22,25317,Обычный,Дождь,Осень,Вечер,Четверг,2,21-30
DL93628,2020-10-08,574,12,14521,Опасный,Дождь,Осень,День,Четверг,0,11-20
OD61287,2020-10-09,641,18,17388,Опасный,Туман,Осень,Утро,Пятница,1,11-20
OD26730,2020-10-10,1087,,18773,Опасный,Ясно,Осень,Ночь,Суббота,1,
OD72842,2020-10-10,593,13,15511,Обычный,Ясно,Осень,Ночь,Суббота,0,11-20
OR32385,2020-10-10,1142,13,13092,Хрупкий,Ясно,Осень,День,Суббота,0,11-20
OD50539,2020-10-10,1484,20,23689,Обычный,Туман,Осень,Ночь,Суббота,3,11-20
DL16311,2020-10-10,884,13,17879,Обычный,Ясно,Осень,День,Суббота,0,11-20
OD11233,2020-10-11,467,16,9085,Хрупкий,Туман,Осень,Вечер,Воскресенье,0,11-20
OD91107,2020-10-11,1095,15,9930,Обычный,Ясно,Осень,Утро,Воскресенье,0,11-20
DL44325,2020-10-11,1097,11,11313,Обычный,Дождь,Осень,Вечер,Воскресенье,1,11-20
OR32305,2020-10-11,1308,16,21869,Обычный,Снег,Осень,День,Воскресенье,2,11-20
OR10149,2020-10-12,1154,,19205,Замороженный,Снег,Осень,Вечер,Понедельник,1,
DL47466,2020-10-12,1528,16,21976,Опасный,Ясно,Осень,День,Понедельник,2,11-20
OR97414,2020-10-12,483,,14420,Обычный,Ясно,Осень,День,Понедельник,0,
DL48286,2020-10-12,730,12,9635,Хрупкий,Ясно,Осень,Утро,Понедельник,0,11-20
DL58764,2020-10-13,1245,7,12577,Опасный,Ясно,Осень,Утро,Вторник,0,6-10
OR48536,2020-10-13,774,11,13833,Обычный,Ясно,Осень,Вечер,Вторник,0,11-20
OR39683,2020-10-13,1299,,24613,Замороженный,Ясно,Осень,Ночь,Вторник,2,
OR78779,2020-10-14,466,7,14571,Обычный,Ясно,Осень,День,Среда,0,6-10
DL71158,2020-10-14,518,,8602,Опасный,Дождь,Осень,Вечер,Среда,0,
OR32934,2020-10-14,551,8,9096,Опасный,Ясно,Осень,Утро,Среда,0,6-10
OR44286,2020-10-14,980,9,13336,Опасный,Дождь,Осень,Вечер,Среда,0,6-10
DL20662,2020-10-14,592,8,9043,Опасный,Ясно,Осень,Вечер,Среда,0,6-10
OR19216,2020-10-15,450,8,10466,Опасный,Ясно,Осень,Ночь,Четверг,0,6-10
OR20803,2020-10-15,652,13,7876,Хрупкий,Туман,Осень,Ночь,Четверг,0,11-20
OD36680,2020-10-15,2169,34,33582,Хрупкий,Ясно,Осень,День,Четверг,5,30+
DL59698,2020-10-16,471,13,8405,Обычный,Ясно,Осень,День,Пятница,0,11-20
OR28339,2020-10-16,1337,17,19672,Опасный,Ясно,Осень,Вечер,Пятница,1,11-20
OR44103,2020-10-16,425,14,16841,Опасный,Ясно,Осень,День,Пятница,0,11-20
OD25227,2020-10-16,419,7,13149,Хрупкий,Дождь,Осень,День,Пятница,0,6-10
DL59624,2020-10-16,627,13,19077,Обычный,Ясно,Осень,День,Пятница,1,11-20
OD59537,2020-10-17,687,15,12829,Опасный,Ясно,Осень,Утро,Суббота,0,11-20
OR80692,2020-10-17,518,13,9767,Замороженный,Ясно,Осень,Утро,Суббота,0,11-20
OD61345,2020-10-18,918,10,18863,Опасный,Снег,Осень,Утро,Воскресенье,0,6-10
DL32608,2020-10-18,1911,28,29758,Замороженный,Дождь,Осень,День,Воскресенье,4,21-30
OD28835,2020-10-18,1095,,14931,Обычный,Дождь,Осень,Утро,Воскресенье,0,
DL64887,2020-10-18,411,14,8234,Обычный,Дождь,Осень,Ночь,Воскресенье,0,11-20
OR23059,2020-10-18,413,13,10996,Замороженный,Дождь,Осень,Ночь,Воскресенье,0,11-20
OD43447,2020-10-18,1048,7,10595,Опасный,Ясно,Осень,Утро,Воскресенье,0,6-10
OD63565,2020-10-18,1298,20,20469,Обычный,Дождь,Осень,Ночь,Воскресенье,2,11-20
OD21654,2020-10-18,1346,16,16309,Обычный,Ясно,Осень,День,Воскресенье,1,11-20
DL89093,2020-10-19,1080,12,7881,Опасный,Дождь,Осень,Утро,Понедельник,0,11-20
OR18544,2020-10-19,1203,16,18272,Хрупкий,Дождь,Осень,Вечер,Понедельник,2,11-20
DL25065,2020-10-19,607,8,8416,Хрупкий,Дождь,Осень,Утро,Понедельник,0,6-10
OR92134,2020-10-19,1242,9,12630,Хрупкий,Туман,Осень,Вечер,Понедельник,0,6-10
OR65234,2020-10-20,817,15,9356,Обычный,Ясно,Осень,День,Вторник,0,11-20
OR38370,2020-10-20,1270,15,15227,Обычный,Ясно,Осень,День,Вторник,1,11-20
OR76013,2020-10-20,380,16,9293,Опасный,Ясно,Осень,Ночь,Вторник,0,11-20
OD19054,2020-10-20,1964,20,27886,Обычный,Ясно,Осень,Ночь,Вторник,3,11-20
