ID ТС,Дата записи,Пробег (км),Возраст ТС (лет),Количество ТО за год,Загрузка (%),Средняя скорость (км/ч),Средняя нагрузка двигателя (%),Поломка в ближайший месяц
VEH73371,2020-04-08,221182.0,5.0,6.0,88.7,94.0,55.0,0
VEH56320,2020-04-08,294950.0,11.0,9.0,35.2,68.0,91.0,0
VEH08368,2020-04-08,39512.0,2.0,8.0,94.2,41.0,74.0,0
VEH32950,2020-04-09,283275.0,7.0,8.0,40.8,51.0,44.0,0
VEH29041,2020-04-09,283134.0,11.0,8.0,57.6,56.0,33.0,1
VEH03213,2020-04-09,993515.0,19.0,0.0,58.1,51.0,106.0,1
VEH79568,2020-04-11,85153.0,4.0,7.0,92.6,68.0,,0
VEH19666,2020-04-12,34335.0,2.0,8.0,34.6,81.0,62.0,0
VEH03360,2020-04-12,409762.0,6.0,2.0,98.9,82.0,43.0,0
VEH64944,2020-04-12,364188.0,11.0,9.0,54.4,36.0,49.0,0
VEH80436,2020-04-12,36037.0,3.0,9.0,67.6,38.0,54.0,0
VEH63016,2020-04-13,464452.0,10.0,1.0,32.1,38.0,55.0,0
VEH07402,2020-04-14,576616.0,15.0,7.0,44.9,92.0,88.0,0
VEH29938,2020-04-14,173371.0,5.0,9.0,68.3,42.0,41.0,0
VEH78724,2020-04-14,15755.0,0.0,3.0,74.7,33.0,85.0,0
VEH84162,2020-04-15,830305.0,18.0,8.0,31.1,57.0,52.0,1
VEH30785,2020-04-15,872577.0,20.0,8.0,53.6,22.0,38.0,0
VEH86709,2020-04-15,1225612.0,18.0,2.0,35.5,70.0,31.0,0
VEH95327,2020-04-15,560249.0,8.0,2.0,98.5,51.0,,0
VEH08866,2020-04-15,736388.0,12.0,9.0,63.5,73.0,63.0,0
VEH16670,2020-04-15,1211008.0,20.0,0.0,87.8,42.0,93.0,0
VEH37059,2020-04-15,259074.0,9.0,1.0,63.1,91.0,49.0,0
VEH25664,2020-04-15,1050145.0,19.0,7.0,75.1,46.0,58.0,0
VEH55707,2020-04-16,308266.0,5.0,3.0,79.5,89.0,78.0,0
VEH25914,2020-04-16,1066166.0,19.0,2.0,93.2,87.0,105.0,1
VEH94112,2020-04-16,165188.0,5.0,9.0,66.6,48.0,35.0,0
VEH49074,2020-04-16,243848.0,8.0,2.0,50.0,38.0,56.0,0
VEH35762,2020-04-17,398506.0,10.0,7.0,38.2,45.0,90.0,0
VEH47540,2020-04-18,13993.0,2.0,3.0,46.3,51.0,103.0,0
VEH98838,2020-04-18,8478.0,4.0,1.0,38.7,22.0,67.0,0
VEH36198,2020-04-18,988281.0,16.0,8.0,37.2,45.0,31.0,0
VEH15204,2020-04-19,112220.0,4.0,8.0,85.4,57.0,59.0,0
VEH46097,2020-04-19,324356.0,15.0,9.0,73.3,30.0,35.0,0
VEH00091,2020-04-19,807385.0,17.0,7.0,32.9,82.0,39.0,1
VEH76383,2020-04-19,19624.0,2.0,7.0,57.4,50.0,68.0,0
VEH44360,2020-04-20,747595.0,19.0,8.0,78.7,63.0,76.0,0
VEH25233,2020-04-20,887593.0,20.0,6.0,32.4,43.0,93.0,1
VEH52753,2020-04-20,620654.0,11.0,0.0,70.1,33.0,103.0,0
VEH47596,2020-04-20,402939.0,13.0,3.0,43.3,34.0,97.0,0
VEH50078,2020-04-20,592830.0,15.0,6.0,93.6,85.0,87.0,0
VEH06372,2020-04-20,766816.0,18.0,1.0,55.6,64.0,88.0,1
VEH21349,2020-04-21,346107.0,8.0,7.0,75.7,58.0,44.0,0
VEH92502,2020-04-21,29310.0,2.0,,54.0,51.0,77.0,0
VEH49376,2020-04-21,781709.0,17.0,6.0,36.6,37.0,30.0,0
VEH68434,2020-04-22,18683.0,0.0,0.0,53.1,56.0,85.0,0
VEH91066,2020-04-22,84959.0,3.0,7.0,79.4,41.0,74.0,0
VEH66219,2020-04-22,1013310.0,20.0,3.0,51.2,58.0,57.0,1
VEH18413,2020-04-22,549569.0,10.0,6.0,46.4,21.0,65.0,0
VEH55993,2020-04-23,266813.0,4.0,6.0,46.2,23.0,70.0,0
VEH66596,2020-04-23,384265.0,8.0,4.0,37.4,39.0,70.0,0
VEH14545,2020-04-24,340410.0,13.0,10.0,50.2,72.0,60.0,0
VEH09007,2020-04-24,471103.0,8.0,11.0,87.1,69.0,35.0,1
VEH44196,2020-04-24,318768.0,6.0,7.0,57.5,39.0,91.0,0
VEH15551,2020-04-25,1096189.0,17.0,7.0,95.1,78.0,45.0,0
VEH40169,2020-04-25,723349.0,17.0,8.0,68.3,94.0,125.0,0
VEH35530,2020-04-25,235652.0,9.0,8.0,78.8,72.0,61.0,0
VEH71874,2020-04-25,543240.0,12.0,2.0,79.4,81.0,46.0,0
VEH58508,2020-04-25,68849.0,3.0,3.0,57.6,77.0,102.0,0
VEH28051,2020-04-26,170208.0,5.0,1.0,50.7,71.0,67.0,0
VEH71723,2020-04-26,449221.0,12.0,5.0,51.4,59.0,40.0,0
VEH73437,2020-04-27,1012706.0,19.0,10.0,42.9,79.0,79.0,1
VEH71342,2020-04-27,247692.0,5.0,6.0,35.1,81.0,63.0,0
VEH91552,2020-04-27,21259.0,0.0,1.0,97.2,32.0,60.0,1
VEH07153,2020-04-28,213777.0,15.0,8.0,93.8,42.0,53.0,0
VEH49691,2020-04-28,15746.0,2.0,4.0,98.9,66.0,73.0,0
VEH82236,2020-04-29,9205.0,2.0,10.0,34.6,45.0,33.0,1
VEH58241,2020-04-29,506189.0,12.0,5.0,59.8,31.0,43.0,0
VEH82330,2020-04-29,1127751.0,16.0,4.0,86.3,29.0,32.0,0
VEH08952,2020-04-30,751849.0,19.0,0.0,67.5,70.0,41.0,1
VEH21148,2020-04-30,259140.0,5.0,10.0,80.2,70.0,71.0,0
VEH89365,2020-04-30,29281.0,0.0,3.0,98.6,57.0,47.0,0
VEH63636,2020-05-01,1017330.0,16.0,4.0,60.0,53.0,56.0,1
VEH72488,2020-05-01,954492.0,19.0,7.0,63.3,68.0,48.0,1
VEH59141,2020-05-02,271180.0,7.0,9.0,64.9,50.0,91.0,0
VEH87294,2020-05-02,18340.0,1.0,5.0,90.3,38.0,74.0,0
VEH90759,2020-05-02,37866.0,0.0,2.0,58.3,79.0,45.0,0
VEH94269,2020-05-03,390903.0,8.0,6.0,44.3,50.0,69.0,0
VEH85631,2020-05-03,,12.0,6.0,49.0,53.0,30.0,1
VEH18546,2020-05-03,795296.0,16.0,0.0,88.6,35.0,48.0,0
VEH00044,2020-05-03,5422.0,2.0,1.0,50.4,64.0,74.0,0
VEH54270,2020-05-03,988898.0,17.0,9.0,91.2,52.0,,1
VEH36167,2020-05-04,,8.0,3.0,57.4,49.0,82.0,0
VEH21351,2020-05-04,256937.0,6.0,7.0,56.2,85.0,52.0,0
VEH93348,2020-05-04,893190.0,18.0,0.0,41.4,94.0,72.0,1
VEH40446,2020-05-04,428158.0,13.0,9.0,41.2,39.0,63.0,0
VEH53164,2020-05-04,36487.0,2.0,8.0,75.7,47.0,66.0,0
VEH57861,2020-05-05,152232.0,3.0,,38.5,48.0,28.0,1
VEH14622,2020-05-05,1170281.0,17.0,8.0,95.7,46.0,82.0,1
VEH72319,2020-05-05,380193.0,14.0,6.0,96.5,28.0,58.0,0
VEH10937,2020-05-05,441557.0,7.0,5.0,66.0,25.0,76.0,0
VEH77742,2020-05-05,388584.0,14.0,10.0,95.2,73.0,,0
VEH12816,2020-05-06,1125573.0,18.0,0.0,90.0,41.0,90.0,1
VEH24878,2020-05-06,385788.0,8.0,1.0,33.4,45.0,41.0,0
VEH56731,2020-05-07,213284.0,7.0,9.0,72.0,60.0,28.0,0
VEH72939,2020-05-07,342503.0,10.0,7.0,96.4,52.0,41.0,0
VEH68526,2020-05-07,1089624.0,16.0,9.0,72.8,28.0,,0
VEH65712,2020-05-07,353914.0,8.0,3.0,45.5,30.0,59.0,0
VEH09759,2020-05-07,653695.0,12.0,9.0,40.7,90.0,48.0,0
VEH53940,2020-05-07,418210.0,10.0,1.0,92.2,65.0,62.0,0
VEH24632,2020-05-08,335853.0,5.0,8.0,92.7,51.0,71.0,0
VEH32194,2020-05-08,403467.0,6.0,9.0,61.8,24.0,65.0,0
VEH23663,2020-05-08,192692.0,6.0,6.0,54.3,30.0,51.0,0
VEH64277,2020-05-08,263610.0,7.0,3.0,96.0,58.0,42.0,1
VEH56861,2020-05-09,247950.0,6.0,3.0,80.5,51.0,85.0,0
VEH61732,2020-05-09,,7.0,9.0,47.9,74.0,75.0,0
VEH59775,2020-05-09,102312.0,3.0,1.0,45.4,81.0,95.0,0
VEH62519,2020-05-09,839204.0,15.0,9.0,47.1,66.0,73.0,1
VEH29995,2020-05-10,898342.0,17.0,0.0,31.9,69.0,98.0,0
VEH94898,2020-05-10,249490.0,11.0,10.0,51.8,66.0,79.0,0
VEH60779,2020-05-10,1048913.0,18.0,4.0,80.9,63.0,56.0,0
VEH42259,2020-05-10,755727.0,16.0,4.0,49.4,30.0,51.0,0
VEH27126,2020-05-11,1036882.0,18.0,2.0,71.1,64.0,44.0,1
VEH90435,2020-05-11,369629.0,13.0,7.0,90.4,49.0,44.0,1
VEH58151,2020-05-11,27035.0,1.0,8.0,54.3,46.0,97.0,0
VEH18967,2020-05-12,202728.0,5.0,6.0,45.2,42.0,,0
VEH25522,2020-05-12,794272.0,16.0,7.0,64.6,55.0,41.0,0
VEH48261,2020-05-13,15345.0,0.0,0.0,39.7,32.0,44.0,0
VEH55074,2020-05-13,773769.0,12.0,8.0,52.9,70.0,69.0,0
VEH59810,2020-05-13,365112.0,11.0,9.0,33.3,96.0,104.0,0
VEH60656,2020-05-13,189093.0,5.0,8.0,41.4,81.0,55.0,0
VEH39141,2020-05-13,235239.0,8.0,7.0,74.0,100.0,79.0,0
VEH52678,2020-05-14,345866.0,10.0,5.0,50.2,34.0,43.0,0
VEH01113,2020-05-14,437644.0,13.0,3.0,41.4,41.0,63.0,0
VEH11279,2020-05-14,405408.0,11.0,5.0,64.0,67.0,72.0,0
VEH63816,2020-05-14,276754.0,8.0,7.0,56.7,31.0,108.0,0
VEH21807,2020-05-15,69213.0,4.0,9.0,73.8,47.0,41.0,0
VEH67390,2020-05-16,10697.0,3.0,4.0,47.1,92.0,37.0,1
VEH94060,2020-05-16,761048.0,17.0,6.0,53.8,55.0,58.0,0
VEH47341,2020-05-16,86940.0,6.0,2.0,73.3,69.0,27.0,1
VEH07289,2020-05-17,115349.0,4.0,7.0,59.0,65.0,55.0,0
VEH47060,2020-05-17,122737.0,5.0,5.0,40.0,31.0,45.0,0
VEH90636,2020-05-17,962385.0,20.0,8.0,56.6,61.0,46.0,1
VEH36178,2020-05-17,383057.0,10.0,7.0,37.8,45.0,42.0,0
VEH77061,2020-05-17,837720.0,17.0,10.0,31.7,84.0,92.0,1
VEH42441,2020-05-18,50082.0,3.0,2.0,49.7,40.0,81.0,0
VEH48075,2020-05-18,144414.0,8.0,7.0,44.8,28.0,118.0,0
VEH99640,2020-05-19,139725.0,3.0,7.0,43.3,37.0,59.0,0
VEH62575,2020-05-19,526361.0,8.0,5.0,48.5,35.0,84.0,0
VEH90994,2020-05-19,1072800.0,17.0,4.0,32.4,46.0,88.0,0
VEH21520,2020-05-20,614633.0,13.0,1.0,52.6,27.0,68.0,0
VEH93514,2020-05-20,913453.0,19.0,3.0,97.0,81.0,73.0,1
VEH63457,2020-05-20,1048912.0,20.0,11.0,45.5,74.0,58.0,1
VEH88917,2020-05-21,354845.0,9.0,5.0,87.6,84.0,36.0,0
VEH77275,2020-05-22,1024334.0,16.0,7.0,69.8,77.0,90.0,0
VEH07813,2020-05-22,575463.0,14.0,1.0,45.0,34.0,95.0,0
VEH51503,2020-05-22,587337.0,9.0,7.0,52.7,76.0,61.0,0
VEH99639,2020-05-22,174792.0,4.0,2.0,58.9,42.0,91.0,0
VEH77644,2020-05-22,341145.0,10.0,6.0,32.6,65.0,42.0,0
VEH20714,2020-05-23,993597.0,18.0,6.0,75.7,71.0,71.0,1
VEH51081,2020-05-23,27939.0,2.0,1.0,47.9,38.0,84.0,0
VEH13523,2020-05-24,184514.0,7.0,5.0,83.9,80.0,104.0,0
VEH45901,2020-05-24,344241.0,9.0,4.0,51.7,23.0,42.0,0
VEH18505,2020-05-25,587201.0,12.0,,32.6,36.0,94.0,0
VEH34729,2020-05-25,289817.0,11.0,10.0,81.0,82.0,69.0,0
VEH35389,2020-05-26,477425.0,,7.0,56.3,75.0,87.0,0
VEH33953,2020-05-26,6919.0,,2.0,69.2,52.0,94.0,0
VEH47808,2020-05-27,198599.0,8.0,1.0,72.8,42.0,46.0,0
VEH08089,2020-05-27,355036.0,12.0,1.0,54.6,53.0,63.0,0
VEH73566,2020-05-28,597511.0,15.0,9.0,93.2,36.0,43.0,0
VEH00626,2020-05-28,255053.0,12.0,8.0,63.8,64.0,83.0,0
VEH21140,2020-05-28,11239.0,2.0,1.0,87.2,81.0,75.0,0
VEH85076,2020-05-29,99299.0,4.0,1.0,50.1,32.0,73.0,0
VEH26717,2020-05-29,580719.0,12.0,4.0,69.8,29.0,64.0,0
VEH49016,2020-05-29,198850.0,9.0,6.0,89.4,79.0,,0
VEH46694,2020-05-29,332406.0,4.0,8.0,69.2,26.0,72.0,0
VEH83428,2020-05-29,7991.0,0.0,0.0,62.9,50.0,89.0,0
VEH81893,2020-05-30,291630.0,10.0,7.0,86.7,24.0,94.0,0
VEH14050,2020-05-30,1198730.0,17.0,4.0,79.4,45.0,67.0,1
VEH24210,2020-05-30,179574.0,4.0,7.0,75.6,59.0,58.0,0
VEH88915,2020-05-30,850276.0,19.0,7.0,37.8,68.0,48.0,0
VEH65366,2020-05-30,1024558.0,20.0,,58.8,42.0,68.0,1
VEH26729,2020-05-30,756403.0,20.0,11.0,39.3,87.0,85.0,0
VEH70941,2020-05-30,320020.0,11.0,,41.0,33.0,90.0,0
VEH57878,2020-05-31,10390.0,2.0,7.0,40.6,56.0,39.0,0
VEH05166,2020-05-31,465335.0,13.0,4.0,75.3,37.0,40.0,0
VEH84102,2020-05-31,5261.0,0.0,,87.5,62.0,43.0,0
VEH84733,2020-05-31,203717.0,4.0,5.0,86.1,59.0,51.0,0
VEH84935,2020-06-01,909706.0,17.0,0.0,70.7,66.0,51.0,1
VEH23942,2020-06-01,832907.0,15.0,7.0,47.5,33.0,67.0,0
VEH50792,2020-06-01,353557.0,13.0,4.0,78.0,51.0,48.0,0
VEH85719,2020-06-01,5426.0,0.0,8.0,88.3,41.0,33.0,0
VEH87220,2020-06-03,397560.0,13.0,8.0,99.3,74.0,118.0,0
VEH29957,2020-06-03,340300.0,7.0,2.0,54.4,67.0,102.0,0
VEH61592,2020-06-03,836977.0,20.0,6.0,38.5,64.0,45.0,1
VEH55434,2020-06-03,294703.0,7.0,4.0,57.9,62.0,77.0,0
VEH13486,2020-06-03,758891.0,20.0,3.0,92.4,25.0,36.0,1
VEH76374,2020-06-03,944162.0,19.0,9.0,96.6,68.0,80.0,0
VEH12030,2020-06-04,1151571.0,20.0,8.0,42.6,85.0,55.0,1
VEH99637,2020-06-04,812090.0,13.0,3.0,95.7,91.0,97.0,1
VEH51063,2020-06-04,130025.0,5.0,2.0,53.4,89.0,52.0,0
VEH03915,2020-06-04,866769.0,20.0,7.0,91.5,90.0,98.0,1
VEH99026,2020-06-04,280693.0,8.0,9.0,76.5,68.0,74.0,0
VEH51444,2020-06-04,381155.0,10.0,0.0,52.2,66.0,63.0,0
VEH55745,2020-06-04,1095414.0,17.0,0.0,81.3,36.0,64.0,0
VEH38203,2020-06-04,5636.0,3.0,4.0,82.4,53.0,71.0,0
VEH40077,2020-06-05,584960.0,14.0,0.0,76.1,66.0,55.0,0
VEH78193,2020-06-05,110357.0,4.0,0.0,91.3,77.0,57.0,0
VEH41443,2020-06-05,438050.0,10.0,7.0,95.3,78.0,83.0,0
VEH29485,2020-06-06,446292.0,15.0,5.0,68.6,65.0,94.0,0
VEH25551,2020-06-06,14910.0,1.0,5.0,78.7,67.0,93.0,0
VEH78274,2020-06-06,179992.0,4.0,0.0,87.2,64.0,77.0,0
VEH21903,2020-06-07,295719.0,12.0,1.0,93.2,23.0,55.0,1
VEH23140,2020-06-07,193159.0,5.0,3.0,79.1,41.0,32.0,0
VEH44740,2020-06-07,334286.0,8.0,6.0,91.8,32.0,34.0,1
VEH32263,2020-06-07,216309.0,3.0,3.0,90.3,86.0,49.0,0
VEH81200,2020-06-08,422020.0,14.0,3.0,75.5,72.0,31.0,0
VEH11923,2020-06-08,20107.0,1.0,3.0,50.1,75.0,43.0,0
VEH58305,2020-06-08,166301.0,3.0,8.0,61.3,92.0,76.0,0
VEH70260,2020-06-08,133353.0,6.0,7.0,94.8,27.0,87.0,1
VEH35518,2020-06-08,161695.0,9.0,5.0,92.3,74.0,77.0,1
VEH29898,2020-06-09,32222.0,1.0,8.0,99.0,55.0,89.0,0
VEH32039,2020-06-09,139315.0,8.0,8.0,30.9,47.0,65.0,0
VEH19546,2020-06-09,249469.0,6.0,5.0,51.8,92.0,62.0,0
VEH46135,2020-06-09,249885.0,6.0,1.0,36.8,69.0,93.0,0
VEH46936,2020-06-09,283789.0,13.0,5.0,96.2,45.0,88.0,1
VEH74408,2020-06-10,182454.0,8.0,8.0,42.6,19.0,56.0,0
VEH57504,2020-06-10,257992.0,7.0,0.0,83.4,84.0,49.0,0
VEH53936,2020-06-10,1153552.0,18.0,7.0,38.5,54.0,44.0,0
VEH02829,2020-06-11,164544.0,4.0,5.0,47.2,44.0,75.0,0
VEH47384,2020-06-11,376733.0,7.0,2.0,39.6,83.0,70.0,0
VEH38209,2020-06-11,1205943.0,19.0,5.0,58.7,44.0,97.0,1
VEH21118,2020-06-12,897697.0,20.0,0.0,53.7,34.0,97.0,1
VEH12937,2020-06-12,834765.0,20.0,2.0,71.3,32.0,49.0,1
VEH09143,2020-06-12,58536.0,3.0,2.0,72.6,44.0,50.0,0
VEH66211,2020-06-12,572084.0,10.0,8.0,96.5,53.0,58.0,0
VEH07327,2020-06-13,174724.0,11.0,8.0,92.5,37.0,32.0,0
VEH72242,2020-06-13,31172.0,0.0,,89.2,57.0,82.0,0
VEH76630,2020-06-13,273669.0,4.0,4.0,67.4,79.0,84.0,0
VEH55221,2020-06-13,836103.0,15.0,7.0,45.4,34.0,38.0,0
VEH42235,2020-06-14,806325.0,17.0,7.0,39.0,25.0,55.0,0
VEH07362,2020-06-14,156232.0,5.0,8.0,54.2,85.0,67.0,0
VEH85430,2020-06-15,731149.0,14.0,4.0,40.9,101.0,80.0,0
VEH87278,2020-06-15,978682.0,19.0,7.0,38.6,27.0,65.0,1
VEH11617,2020-06-15,1184458.0,16.0,2.0,89.9,93.0,81.0,1
VEH93888,2020-06-15,284652.0,8.0,8.0,87.2,65.0,59.0,0
VEH66514,2020-06-16,18101.0,0.0,10.0,83.8,32.0,28.0,1
VEH41124,2020-06-16,322070.0,5.0,0.0,63.9,104.0,55.0,0
VEH23519,2020-06-18,509749.0,11.0,10.0,51.1,16.0,60.0,0
VEH93117,2020-06-18,11447.0,2.0,10.0,44.9,27.0,69.0,0
VEH29447,2020-06-19,471441.0,12.0,3.0,51.7,59.0,96.0,0
VEH27157,2020-06-19,656567.0,15.0,8.0,64.5,48.0,55.0,0
VEH96667,2020-06-19,459990.0,9.0,5.0,62.2,23.0,89.0,0
VEH24456,2020-06-20,430142.0,10.0,1.0,34.9,56.0,74.0,0
VEH18040,2020-06-20,25361.0,2.0,0.0,63.0,50.0,77.0,0
VEH98526,2020-06-20,42920.0,4.0,2.0,61.3,27.0,31.0,1
VEH87011,2020-06-20,192232.0,6.0,1.0,49.2,50.0,98.0,0
VEH58640,2020-06-20,179672.0,3.0,0.0,94.5,76.0,41.0,0
VEH79407,2020-06-21,507682.0,12.0,10.0,86.6,89.0,77.0,0
VEH48465,2020-06-21,984886.0,19.0,9.0,57.6,50.0,55.0,0
VEH15940,2020-06-21,391315.0,11.0,3.0,52.9,89.0,51.0,0
VEH04856,2020-06-22,27215.0,2.0,0.0,52.7,59.0,45.0,0
VEH41851,2020-06-23,215329.0,6.0,11.0,78.6,74.0,43.0,0
VEH75395,2020-06-23,5895.0,2.0,7.0,90.8,24.0,29.0,1
VEH77029,2020-06-23,13125.0,1.0,5.0,40.9,73.0,30.0,1
VEH26508,2020-06-24,273783.0,13.0,5.0,40.8,40.0,,0
VEH16060,2020-06-24,15315.0,1.0,10.0,66.7,42.0,80.0,0
VEH45643,2020-06-24,13143.0,1.0,1.0,36.8,53.0,65.0,0
VEH77665,2020-06-24,37910.0,2.0,3.0,73.8,66.0,118.0,0
VEH23544,2020-06-25,226572.0,3.0,1.0,72.6,44.0,105.0,0
VEH39832,2020-06-25,839188.0,17.0,6.0,50.4,31.0,28.0,1
VEH58831,2020-06-25,821863.0,16.0,9.0,45.0,65.0,43.0,1
VEH60927,2020-06-25,854754.0,20.0,2.0,63.0,77.0,71.0,1
VEH63498,2020-06-25,869200.0,17.0,6.0,54.7,43.0,79.0,1
VEH85331,2020-06-25,773102.0,20.0,9.0,77.2,31.0,108.0,0
VEH28207,2020-06-25,423606.0,14.0,10.0,71.8,31.0,64.0,0
VEH41552,2020-06-26,121195.0,3.0,2.0,50.5,52.0,46.0,0
VEH24403,2020-06-28,841290.0,17.0,6.0,40.0,82.0,87.0,0
VEH36903,2020-06-28,230574.0,5.0,9.0,93.2,31.0,57.0,0
VEH76602,2020-06-28,570918.0,14.0,5.0,45.1,37.0,45.0,0
VEH38811,2020-06-29,718651.0,17.0,5.0,95.9,52.0,63.0,1
VEH70247,2020-06-29,582035.0,,10.0,78.0,54.0,65.0,0
VEH51284,2020-06-29,207492.0,10.0,9.0,83.5,93.0,62.0,0
VEH54531,2020-06-29,1215187.0,17.0,3.0,57.6,79.0,65.0,1
VEH44881,2020-06-29,931037.0,17.0,4.0,73.5,75.0,93.0,1
VEH83972,2020-06-29,639036.0,14.0,7.0,97.0,71.0,40.0,1
VEH62500,2020-06-29,6556.0,0.0,0.0,68.6,77.0,78.0,0
VEH46665,2020-06-29,1062715.0,19.0,0.0,57.6,55.0,98.0,1
VEH83971,2020-06-30,517863.0,9.0,0.0,70.4,27.0,48.0,0
VEH09726,2020-06-30,186409.0,7.0,3.0,43.7,28.0,31.0,0
VEH59604,2020-06-30,25478.0,0.0,4.0,50.2,38.0,48.0,0
VEH05020,2020-06-30,1173167.0,16.0,9.0,72.6,70.0,46.0,1
VEH55959,2020-06-30,1015331.0,18.0,2.0,65.2,31.0,78.0,1
VEH26268,2020-07-01,637595.0,14.0,5.0,94.9,59.0,56.0,1
VEH64333,2020-07-01,343390.0,8.0,5.0,78.4,70.0,53.0,0
VEH47791,2020-07-02,243911.0,7.0,3.0,42.8,64.0,59.0,0
VEH66667,2020-07-02,458904.0,9.0,1.0,65.4,44.0,81.0,0
VEH24963,2020-07-02,967063.0,18.0,3.0,46.1,31.0,65.0,1
VEH96697,2020-07-02,167003.0,10.0,,85.5,56.0,78.0,0
VEH70824,2020-07-03,708885.0,18.0,1.0,30.2,67.0,92.0,1
VEH47860,2020-07-04,481027.0,9.0,0.0,47.4,46.0,70.0,0
VEH34362,2020-07-04,1026598.0,18.0,,98.1,36.0,77.0,0
VEH11225,2020-07-04,10690.0,1.0,5.0,82.4,69.0,63.0,0
VEH06545,2020-07-04,451348.0,13.0,6.0,85.1,78.0,76.0,0
VEH32753,2020-07-05,137431.0,3.0,3.0,44.4,79.0,35.0,1
VEH33706,2020-07-05,813819.0,19.0,0.0,97.5,48.0,56.0,1
VEH65988,2020-07-05,879635.0,20.0,6.0,42.5,49.0,56.0,1
VEH97437,2020-07-05,830717.0,16.0,0.0,90.0,52.0,90.0,1
VEH55775,2020-07-05,819200.0,18.0,2.0,61.4,26.0,84.0,0
VEH14836,2020-07-06,178145.0,7.0,2.0,51.7,58.0,62.0,0
VEH04801,2020-07-06,240686.0,12.0,6.0,75.6,56.0,64.0,0
VEH03824,2020-07-06,1112422.0,18.0,8.0,68.6,78.0,64.0,1
VEH92605,2020-07-07,638081.0,13.0,4.0,83.0,60.0,67.0,0
VEH11657,2020-07-08,172099.0,4.0,2.0,79.6,47.0,36.0,0
VEH82317,2020-07-09,989214.0,15.0,10.0,77.9,86.0,64.0,0
VEH82601,2020-07-09,1139291.0,17.0,6.0,34.7,77.0,47.0,0
VEH95715,2020-07-09,670700.0,12.0,8.0,84.1,57.0,55.0,0
VEH68680,2020-07-09,197080.0,4.0,2.0,31.7,94.0,31.0,0
VEH03097,2020-07-09,183700.0,6.0,7.0,35.7,81.0,38.0,0
VEH12071,2020-07-09,767536.0,18.0,3.0,50.3,54.0,82.0,1
VEH72890,2020-07-10,1157817.0,16.0,3.0,59.5,83.0,48.0,1
VEH60374,2020-07-10,334013.0,8.0,6.0,57.1,79.0,103.0,0
VEH97665,2020-07-10,968205.0,18.0,1.0,92.0,56.0,90.0,0
VEH14149,2020-07-10,249852.0,13.0,7.0,48.8,61.0,95.0,0
VEH16262,2020-07-10,290879.0,6.0,5.0,95.5,75.0,41.0,1
VEH53606,2020-07-10,890752.0,20.0,0.0,99.1,71.0,77.0,0
VEH40403,2020-07-11,247481.0,5.0,5.0,49.1,35.0,71.0,0
VEH30809,2020-07-11,846076.0,14.0,9.0,85.8,82.0,72.0,0
VEH46041,2020-07-11,36218.0,1.0,3.0,73.3,62.0,57.0,0
VEH47307,2020-07-12,460386.0,11.0,2.0,55.7,63.0,54.0,0
VEH88701,2020-07-12,10177.0,2.0,1.0,48.4,49.0,83.0,0
VEH56622,2020-07-12,111738.0,7.0,9.0,32.2,88.0,28.0,1
VEH00667,2020-07-12,427732.0,9.0,0.0,33.4,28.0,104.0,0
VEH71677,2020-07-12,202215.0,3.0,4.0,85.6,94.0,69.0,0
VEH68382,2020-07-13,39575.0,0.0,,65.5,78.0,79.0,0
VEH63348,2020-07-13,854270.0,17.0,3.0,41.8,40.0,47.0,0
VEH07306,2020-07-13,997408.0,16.0,4.0,56.3,51.0,41.0,1
VEH29764,2020-07-13,1014035.0,19.0,2.0,73.7,31.0,98.0,0
VEH31172,2020-07-13,35126.0,0.0,5.0,96.4,28.0,80.0,1
VEH39212,2020-07-13,826496.0,16.0,0.0,97.4,66.0,92.0,0
VEH00780,2020-07-14,22981.0,1.0,4.0,80.0,57.0,41.0,0
VEH41767,2020-07-14,1106320.0,19.0,4.0,35.5,59.0,99.0,1
VEH25844,2020-07-14,698158.0,20.0,0.0,61.4,41.0,58.0,0
VEH18882,2020-07-14,344166.0,8.0,9.0,71.3,85.0,33.0,0
VEH84143,2020-07-14,211088.0,11.0,1.0,65.4,49.0,38.0,0
VEH95040,2020-07-15,948776.0,20.0,6.0,52.3,86.0,46.0,1
VEH45233,2020-07-15,347310.0,12.0,9.0,44.9,65.0,107.0,0
VEH78715,2020-07-16,70092.0,3.0,5.0,73.3,36.0,90.0,0
VEH36336,2020-07-16,728907.0,19.0,8.0,32.3,25.0,84.0,0
VEH45735,2020-07-16,284941.0,6.0,8.0,44.9,46.0,69.0,0
VEH55196,2020-07-16,999868.0,17.0,0.0,54.3,21.0,40.0,1
VEH42963,2020-07-16,968303.0,16.0,4.0,51.0,82.0,70.0,0
VEH10037,2020-07-17,257598.0,12.0,2.0,98.5,77.0,71.0,1
VEH56690,2020-07-17,482697.0,11.0,5.0,90.9,47.0,66.0,1
VEH80387,2020-07-17,389179.0,7.0,8.0,43.3,56.0,39.0,1
VEH09733,2020-07-18,5872.0,1.0,,42.6,56.0,99.0,0
VEH87804,2020-07-18,484101.0,12.0,0.0,88.3,82.0,31.0,0
VEH05569,2020-07-18,433050.0,8.0,3.0,91.6,64.0,39.0,1
VEH71513,2020-07-19,330611.0,12.0,11.0,83.2,36.0,68.0,0
