ID маршрута,Дата отправки,Расстояние (км),Средняя скорость (км/ч),Загруженность дорог,Погодные условия,Тип транспорта,Вес груза (кг),Время суток,День недели,Фактическое время в пути (часы)
RT61990,2019-07-13,1311,53,Малая,Ясно,Прицеп,25827.0,Вечер,Суббота,19
MR69507,2019-07-14,288,54,Малая,,Грузовик,26979.0,День,Воскресенье,6
MR71113,2019-07-14,191,71,Средняя,Шторм,Фургон,24004.0,День,Воскресенье,3
RTE96408,2019-07-14,890,41,Средняя,Шторм,Фургон,,Ночь,Воскресенье,18
RTE20949,2019-07-14,255,71,Средняя,Шторм,Грузовик,9143.0,Вечер,Воскресенье,3
MR19533,2019-07-14,93,42,Средняя,Шторм,Грузовик,1057.0,Утро,Воскресенье,2
MR98304,2019-07-14,427,43,Средняя,Шторм,Прицеп,25006.0,Ночь,Воскресенье,6
RT20013,2019-07-15,354,64,Малая,Ясно,Фургон,601.0,Ночь,Понедельник,6
MR70574,2019-07-15,387,70,Малая,,Грузовик,22392.0,День,Понедельник,5
RT93670,2019-07-15,1389,74,Средняя,Ясно,Грузовик,10554.0,День,Понедельник,20
RT15795,2019-07-16,1088,61,Средняя,Шторм,Фургон,8593.0,Ночь,Вторник,21
RTE54139,2019-07-16,269,59,Средняя,Шторм,Грузовик,16153.0,Утро,Вторник,5
RT47125,2019-07-17,811,87,Средняя,Ясно,Прицеп,8321.0,Утро,Среда,11
MR29226,2019-07-17,90,72,Средняя,Ясно,Грузовик,11131.0,Вечер,Среда,1
RTE61256,2019-07-17,26,35,Высокая,Ясно,Прицеп,26182.0,Вечер,Среда,1
MR58901,2019-07-17,1568,82,Средняя,Ясно,Фургон,6932.0,Ночь,Среда,25
RT49531,2019-07-17,561,85,Малая,Ясно,Грузовик,17414.0,День,Среда,6
RT56704,2019-07-17,501,59,Средняя,Ясно,Фургон,6205.0,Ночь,Среда,7
RTE63310,2019-07-17,1580,58,Малая,Ясно,Грузовик,4187.0,День,Среда,30
MR61664,2019-07-17,250,63,Малая,Ясно,Фургон,24993.0,Ночь,Среда,3
RT90871,2019-07-17,1004,50,Высокая,Ясно,Рефрижератор,4458.0,Утро,Среда,22
MR43716,2019-07-18,324,97,Малая,Ясно,Грузовик,8173.0,Ночь,Четверг,4
RT99716,2019-07-18,211,42,Высокая,Ясно,Прицеп,9789.0,Вечер,Четверг,5
RT32096,2019-07-18,965,78,Малая,Ясно,Грузовик,23162.0,День,Четверг,11
RT62732,2019-07-19,1009,57,Средняя,Туман,Прицеп,11423.0,Вечер,Пятница,15
RT91797,2019-07-19,889,35,Высокая,Туман,Прицеп,15939.0,Утро,Пятница,31
MR83274,2019-07-19,1583,43,Высокая,Туман,Прицеп,17107.0,Вечер,Пятница,44
RTE22142,2019-07-20,1104,49,Малая,Дождь,Прицеп,11670.0,Вечер,Суббота,23
RT49270,2019-07-20,1529,61,Малая,Дождь,Грузовик,26464.0,Утро,Суббота,19
RTE62561,2019-07-20,862,47,Малая,Дождь,Прицеп,24995.0,День,Суббота,17
RT76594,2019-07-21,21,51,Средняя,Туман,Фургон,-43.0,Утро,Воскресенье,0
MR87924,2019-07-21,869,61,Малая,Туман,Прицеп,2115.0,Вечер,Воскресенье,18
MR43992,2019-07-21,1024,68,Средняя,Туман,Грузовик,26404.0,Вечер,Воскресенье,19
RT54522,2019-07-21,718,66,Малая,Туман,Прицеп,6676.0,День,Воскресенье,11
MR92386,2019-07-21,214,63,Средняя,Туман,Фургон,12247.0,Вечер,Воскресенье,4
MR91139,2019-07-21,1667,68,Малая,Туман,Грузовик,29875.0,Ночь,Воскресенье,24
RTE84578,2019-07-21,726,59,Средняя,Туман,Фургон,1472.0,Вечер,Воскресенье,15
MR95799,2019-07-21,336,71,Малая,Туман,Фургон,2517.0,Ночь,Воскресенье,7
MR50903,2019-07-21,1421,56,Средняя,Туман,Прицеп,22341.0,День,Воскресенье,25
RTE42353,2019-07-22,574,44,Средняя,Шторм,Прицеп,28912.0,Ночь,Понедельник,10
RT56343,2019-07-22,1280,67,Средняя,Шторм,Прицеп,11546.0,День,Понедельник,17
RT81754,2019-07-22,1100,55,Средняя,Шторм,Прицеп,27702.0,Утро,Понедельник,24
MR84349,2019-07-22,1732,71,Средняя,Шторм,Фургон,30066.0,Ночь,Понедельник,24
MR58028,2019-07-22,1733,60,Средняя,Шторм,Прицеп,22893.0,Ночь,Понедельник,29
RT30342,2019-07-22,517,35,Высокая,Шторм,Грузовик,1065.0,Утро,Понедельник,18
MR92433,2019-07-23,654,51,Высокая,Дождь,Прицеп,16588.0,Утро,Вторник,18
RTE59994,2019-07-23,1948,49,Средняя,Дождь,Прицеп,10775.0,Ночь,Вторник,38
RT97887,2019-07-23,120,51,Средняя,Дождь,Грузовик,8214.0,Ночь,Вторник,3
MR81044,2019-07-23,1224,56,Средняя,Дождь,Фургон,28277.0,Утро,Вторник,25
RTE46937,2019-07-23,1840,68,Малая,Дождь,Фургон,10662.0,Ночь,Вторник,31
MR72510,2019-07-24,1773,56,Высокая,Ясно,Прицеп,24379.0,Вечер,Среда,31
RT80034,2019-07-24,940,72,Средняя,Ясно,Фургон,9095.0,Ночь,Среда,13
MR33164,2019-07-24,875,99,Малая,Ясно,Фургон,17600.0,День,Среда,14
RTE58542,2019-07-24,403,54,Высокая,,Грузовик,19986.0,Вечер,Среда,8
MR90763,2019-07-24,1496,60,Средняя,Ясно,Грузовик,1429.0,Утро,Среда,23
RT56501,2019-07-24,965,73,Средняя,Ясно,Грузовик,21116.0,Вечер,Среда,13
RT50026,2019-07-25,595,61,Высокая,Ясно,Прицеп,30164.0,Утро,Четверг,13
MR20879,2019-07-25,733,73,Средняя,Ясно,Прицеп,9017.0,День,Четверг,9
RTE21438,2019-07-25,489,75,Малая,Ясно,Грузовик,11247.0,День,Четверг,7
MR45881,2019-07-26,1524,62,Средняя,Ясно,Фургон,28700.0,Ночь,Пятница,27
RTE24176,2019-07-26,229,55,Высокая,Ясно,Прицеп,23221.0,Утро,Пятница,5
MR10015,2019-07-26,956,44,Высокая,Ясно,Фургон,27046.0,Утро,Пятница,20
RT23123,2019-07-26,1267,54,Высокая,,Грузовик,9010.0,Утро,Пятница,20
RT76907,2019-07-26,227,42,Высокая,Ясно,Фургон,20422.0,Утро,Пятница,5
MR82779,2019-07-26,341,72,Высокая,Ясно,Грузовик,6092.0,Вечер,Пятница,6
MR49387,2019-07-27,1382,76,Малая,Ясно,Грузовик,26666.0,День,Суббота,24
RT18656,2019-07-27,1354,66,Средняя,Ясно,Прицеп,13338.0,Ночь,Суббота,17
RTE69019,2019-07-27,972,63,Средняя,Ясно,Прицеп,16948.0,Вечер,Суббота,13
MR87998,2019-07-27,1063,75,Малая,Ясно,Грузовик,11504.0,Вечер,Суббота,17
RTE82651,2019-07-27,469,74,Средняя,Ясно,Прицеп,16248.0,Ночь,Суббота,5
MR16765,2019-07-27,119,72,Малая,Ясно,Грузовик,19417.0,Ночь,Суббота,1
MR59939,2019-07-27,1910,84,Средняя,Ясно,Грузовик,13214.0,Вечер,Суббота,25
MR41644,2019-07-28,1478,90,Средняя,Ясно,Фургон,9719.0,День,Воскресенье,17
MR37876,2019-07-28,1382,59,Средняя,Ясно,Грузовик,23225.0,Ночь,Воскресенье,25
RT76634,2019-07-28,116,87,Средняя,Ясно,Грузовик,19182.0,День,Воскресенье,2
RT63916,2019-07-28,1398,81,Малая,Ясно,Рефрижератор,19338.0,Ночь,Воскресенье,17
RTE27300,2019-07-29,1318,78,Средняя,Ясно,Грузовик,29360.0,День,Понедельник,18
RTE89382,2019-07-29,1749,61,Высокая,Ясно,Прицеп,11053.0,Утро,Понедельник,32
MR57854,2019-07-29,748,71,Средняя,Ясно,Прицеп,29300.0,Утро,Понедельник,10
RT54479,2019-07-29,1795,54,Высокая,Ясно,Грузовик,13871.0,Утро,Понедельник,33
RT72575,2019-07-29,1803,63,Малая,Ясно,Грузовик,,Ночь,Понедельник,29
RTE49835,2019-07-29,1888,70,Малая,Ясно,Прицеп,9635.0,День,Понедельник,20
MR17072,2019-07-29,1115,70,Малая,Ясно,Грузовик,12748.0,Ночь,Понедельник,15
RTE79631,2019-07-29,1327,46,Средняя,Ясно,Прицеп,16706.0,День,Понедельник,21
RTE56394,2019-07-30,1674,52,Высокая,Туман,Прицеп,10888.0,Утро,Вторник,36
RT58403,2019-07-30,1683,52,Высокая,Туман,Грузовик,28736.0,Утро,Вторник,35
RT52729,2019-07-30,562,51,Высокая,Туман,Фургон,9701.0,Вечер,Вторник,15
MR40536,2019-07-31,688,58,Высокая,Ясно,Прицеп,11412.0,Вечер,Среда,13
RT31303,2019-07-31,1384,57,Высокая,Ясно,Прицеп,2793.0,Утро,Среда,28
RTE91400,2019-08-01,1133,73,Средняя,Дождь,Прицеп,18844.0,Ночь,Четверг,17
MR15398,2019-08-01,1925,59,Средняя,Дождь,Прицеп,21348.0,Ночь,Четверг,30
RTE18331,2019-08-01,1696,56,Малая,Дождь,Прицеп,7679.0,Ночь,Четверг,33
RTE20154,2019-08-01,616,69,Малая,Дождь,Фургон,19672.0,День,Четверг,9
MR58731,2019-08-01,823,51,Высокая,Дождь,Фургон,10303.0,Утро,Четверг,17
RTE29906,2019-08-01,357,55,Малая,Дождь,Грузовик,19233.0,День,Четверг,6
RTE33816,2019-08-02,637,88,Малая,Ясно,Прицеп,4748.0,Ночь,Пятница,8
RTE71014,2019-08-02,1491,64,Малая,Ясно,Фургон,1227.0,Ночь,Пятница,27
MR25086,2019-08-02,412,94,Средняя,Ясно,Грузовик,15095.0,Утро,Пятница,5
RT34506,2019-08-02,1237,60,Высокая,Ясно,Грузовик,26878.0,Вечер,Пятница,20
MR46873,2019-08-02,475,67,Малая,Ясно,Прицеп,29575.0,Ночь,Пятница,8
MR23487,2019-08-03,1407,56,Средняя,Дождь,Грузовик,,Ночь,Понедельник,24
RTE72200,2019-08-03,578,79,Средняя,Ясно,Рефрижератор,26638.0,Ночь,Суббота,8
RTE68462,2019-08-03,683,91,Малая,Ясно,Фургон,16692.0,Утро,Суббота,6
RTE52465,2019-08-03,1407,68,Средняя,Ясно,Фургон,20918.0,День,Суббота,30
RT64097,2019-08-03,663,83,Малая,Ясно,Грузовик,29735.0,Утро,Суббота,8
RT62525,2019-08-03,748,78,Малая,Ясно,Фургон,5188.0,Утро,Суббота,13
RTE28989,2019-08-04,12,57,Средняя,Туман,Грузовик,29027.0,Ночь,Воскресенье,1
MR11295,2019-08-04,1508,52,Средняя,Туман,Грузовик,5734.0,Вечер,Воскресенье,29
RT53911,2019-08-04,1982,51,Малая,Туман,Фургон,6278.0,Вечер,Воскресенье,34
MR76117,2019-08-04,866,54,Средняя,Туман,Прицеп,,Вечер,Воскресенье,14
RT58413,2019-08-04,77,64,Средняя,Туман,Прицеп,10668.0,Утро,Воскресенье,2
RT39803,2019-08-04,1764,51,Средняя,Туман,Фургон,27392.0,Вечер,Воскресенье,30
RT94613,2019-08-04,1621,52,Малая,Туман,Фургон,12080.0,Утро,Воскресенье,37
RTE86306,2019-08-05,303,45,Высокая,Туман,Прицеп,15685.0,Утро,Понедельник,6
MR88058,2019-08-05,372,47,Средняя,Туман,,10613.0,Утро,Понедельник,8
RTE41249,2019-08-05,638,65,Средняя,,Фургон,19478.0,Утро,Понедельник,10
RTE31984,2019-08-05,1639,55,Малая,Туман,Фургон,15852.0,День,Понедельник,34
MR55271,2019-08-05,1520,66,Малая,Туман,Прицеп,12967.0,День,Понедельник,27
RTE10231,2019-08-05,1812,78,Малая,Туман,Грузовик,8645.0,День,Понедельник,29
MR98460,2019-08-05,1362,48,Малая,Туман,Прицеп,5113.0,Ночь,Понедельник,23
MR32542,2019-08-05,773,41,Высокая,Туман,Прицеп,15164.0,Утро,Понедельник,16
RTE92644,2019-08-06,1444,86,Средняя,,,7967.0,Ночь,Вторник,20
RT93548,2019-08-07,1821,65,Малая,Дождь,Фургон,12281.0,Ночь,Среда,25
RT39866,2019-08-07,1832,73,Высокая,Дождь,Фургон,7778.0,Утро,Среда,42
RTE95808,2019-08-07,1294,72,Малая,Дождь,Прицеп,15506.0,День,Среда,21
MR12460,2019-08-08,538,60,Средняя,,Фургон,20409.0,Ночь,Четверг,8
RTE14556,2019-08-08,850,49,Высокая,Ясно,Фургон,18292.0,Вечер,Четверг,15
RT13106,2019-08-08,314,78,Малая,Ясно,Грузовик,10641.0,День,Четверг,4
MR83622,2019-08-08,419,43,Высокая,Ясно,Прицеп,9519.0,Утро,Четверг,10
RT91104,2019-08-08,289,38,Высокая,Ясно,Фургон,20550.0,Вечер,Четверг,8
RTE60339,2019-08-09,1106,72,Малая,Ясно,Грузовик,,Ночь,Пятница,15
RT76178,2019-08-09,168,62,Высокая,Ясно,Прицеп,10104.0,Утро,Пятница,4
MR46011,2019-08-09,617,48,Малая,Ясно,Прицеп,23429.0,День,Пятница,13
RT47432,2019-08-09,1118,85,Малая,Ясно,Грузовик,28890.0,Ночь,Пятница,17
RTE42108,2019-08-09,1958,55,Малая,Ясно,Грузовик,9000.0,День,Пятница,29
RT28342,2019-08-09,1734,89,Средняя,Ясно,Грузовик,5316.0,Вечер,Пятница,19
RT39967,2019-08-09,1401,78,Средняя,Ясно,Прицеп,7127.0,День,Пятница,19
MR27091,2019-08-10,572,61,Малая,Туман,Грузовик,3400.0,Ночь,Суббота,10
MR94806,2019-08-10,1345,65,Средняя,Туман,Прицеп,5232.0,День,Суббота,21
RT38761,2019-08-11,1108,90,Малая,Ясно,Грузовик,28984.0,Ночь,Среда,15
RT74597,2019-08-11,1082,83,Малая,Ясно,Прицеп,12933.0,Ночь,Воскресенье,17
RT65071,2019-08-11,1289,70,Малая,Ясно,Фургон,3692.0,Утро,Воскресенье,22
RTE84554,2019-08-11,1069,74,Малая,Ясно,Фургон,26358.0,День,Воскресенье,13
RTE44409,2019-08-11,1641,64,Малая,Ясно,Грузовик,13291.0,День,Воскресенье,22
MR35106,2019-08-11,770,73,Средняя,Ясно,Прицеп,18053.0,День,Воскресенье,10
RT65067,2019-08-12,1077,89,Средняя,Ясно,Прицеп,414.0,Ночь,Понедельник,13
MR27351,2019-08-12,1145,97,Средняя,Ясно,Прицеп,28428.0,День,Понедельник,13
RTE27445,2019-08-12,1417,48,Высокая,Ясно,Фургон,25324.0,Утро,Понедельник,27
MR76927,2019-08-12,1842,77,Малая,Ясно,Фургон,,День,Понедельник,24
RT93554,2019-08-12,695,56,Высокая,Ясно,Грузовик,29475.0,Утро,Понедельник,15
RTE47914,2019-08-12,1036,70,Средняя,Ясно,Фургон,11977.0,Вечер,Понедельник,13
RT52465,2019-08-13,331,58,Малая,Дождь,Прицеп,26975.0,День,Вторник,6
MR39356,2019-08-13,1680,45,Высокая,Дождь,Грузовик,15745.0,Утро,Вторник,43
RT62502,2019-08-13,2120,68,Средняя,,Фургон,1597.0,Вечер,Вторник,31
MR14719,2019-08-13,217,51,Малая,Дождь,Фургон,471.0,День,Вторник,3
MR97311,2019-08-13,294,53,Малая,Дождь,Прицеп,20966.0,Ночь,Вторник,4
RTE98624,2019-08-13,835,64,Средняя,Дождь,Фургон,19195.0,День,Вторник,12
MR22316,2019-08-14,724,48,Высокая,Ясно,Грузовик,15815.0,Утро,Среда,14
RTE24375,2019-08-14,491,61,Средняя,Ясно,Фургон,18350.0,День,Среда,7
RTE71829,2019-08-14,518,42,Высокая,Ясно,Фургон,12776.0,Утро,Среда,10
RTE37268,2019-08-14,510,51,Малая,Ясно,Фургон,24963.0,День,Среда,9
RTE47233,2019-08-14,337,66,Средняя,Ясно,Фургон,9285.0,Вечер,Среда,4
RTE23404,2019-08-14,1174,77,Средняя,Ясно,Грузовик,1161.0,Ночь,Четверг,12
MR95844,2019-08-14,122,61,Малая,Ясно,Грузовик,1271.0,Ночь,Среда,2
RTE62106,2019-08-14,1817,57,Высокая,Ясно,Грузовик,18629.0,Утро,Среда,29
RTE54108,2019-08-14,1136,50,Высокая,Ясно,Грузовик,13230.0,Утро,Среда,23
MR26332,2019-08-14,490,64,Средняя,Ясно,Фургон,10620.0,Ночь,Среда,9
RT18938,2019-08-15,1227,89,Средняя,Ясно,Грузовик,7923.0,Вечер,Четверг,18
RT94592,2019-08-15,462,55,Высокая,,Прицеп,4545.0,Утро,Четверг,13
RTE29919,2019-08-15,1646,92,Средняя,Ясно,Грузовик,16959.0,День,Четверг,22
RT44342,2019-08-15,285,77,Малая,Ясно,Фургон,17786.0,Ночь,Четверг,4
RTE89575,2019-08-15,741,81,Средняя,Ясно,Грузовик,24428.0,Ночь,Четверг,9
RT69508,2019-08-15,981,63,Малая,Ясно,Прицеп,25066.0,Ночь,Четверг,18
RT20281,2019-08-15,895,76,Средняя,Ясно,Прицеп,15164.0,Утро,Четверг,12
RTE43654,2019-08-16,1748,72,Средняя,Ясно,Прицеп,10830.0,Утро,Пятница,29
RT71667,2019-08-16,1723,88,Средняя,Ясно,Грузовик,26117.0,День,Пятница,25
MR92135,2019-08-16,1281,52,Высокая,Ясно,Грузовик,243.0,Вечер,Пятница,24
RT16541,2019-08-16,1460,54,Высокая,Ясно,Грузовик,15670.0,Вечер,Пятница,25
MR61187,2019-08-16,1836,78,Малая,Ясно,Грузовик,21806.0,Ночь,Пятница,25
RTE93791,2019-08-16,2154,81,Средняя,,Грузовик,22651.0,Вечер,Пятница,26
RTE58350,2019-08-17,181,54,Средняя,Шторм,Грузовик,25581.0,Вечер,Суббота,3
RT23849,2019-08-17,744,46,Средняя,Шторм,Прицеп,18801.0,День,Суббота,15
RT78712,2019-08-17,913,68,Средняя,Шторм,Грузовик,29442.0,День,Суббота,17
RT44063,2019-08-17,502,56,Средняя,Шторм,Фургон,7154.0,День,Суббота,11
RT35797,2019-08-17,1256,60,Средняя,Шторм,Прицеп,17122.0,Вечер,Суббота,28
RT27997,2019-08-17,664,44,Средняя,Шторм,Грузовик,5972.0,Ночь,Суббота,14
MR23705,2019-08-18,1070,74,Средняя,Ясно,Грузовик,14933.0,Ночь,Воскресенье,19
RTE22099,2019-08-18,1022,75,Малая,Ясно,Прицеп,6504.0,Утро,Воскресенье,14
RT68900,2019-08-18,1413,76,Средняя,Ясно,Прицеп,24178.0,День,Воскресенье,17
MR47459,2019-08-18,1027,65,Малая,Ясно,Фургон,8181.0,Утро,Воскресенье,13
RT35271,2019-08-19,1552,71,Средняя,Туман,Фургон,6300.0,Утро,Понедельник,24
RT69073,2019-08-19,115,63,Малая,Туман,Фургон,7950.0,День,Понедельник,2
RT52102,2019-08-19,1564,58,Средняя,Туман,Грузовик,15576.0,Утро,Понедельник,29
RT34078,2019-08-19,1484,41,Высокая,Туман,Грузовик,25532.0,Вечер,Понедельник,38
RTE23694,2019-08-20,947,70,Средняя,Ясно,Грузовик,25606.0,Утро,Вторник,16
RTE24000,2019-08-20,908,105,Малая,Ясно,Фургон,26971.0,Ночь,Вторник,12
RTE72990,2019-08-20,1453,66,Высокая,Ясно,Фургон,5373.0,Утро,Вторник,30
RT20731,2019-08-20,913,56,,Ясно,Прицеп,4657.0,Вечер,Вторник,23
RTE94009,2019-08-21,1923,52,Высокая,Ясно,Грузовик,15525.0,Вечер,Среда,36
RT88079,2019-08-21,1062,89,Малая,Ясно,Фургон,10757.0,Ночь,Среда,11
RTE37283,2019-08-21,672,100,Средняя,Ясно,Прицеп,23724.0,Вечер,Среда,8
RTE57777,2019-08-21,404,63,Малая,Ясно,Прицеп,21260.0,День,Среда,7
RT18767,2019-08-22,294,65,Малая,Ясно,Фургон,4556.0,Ночь,Четверг,4
MR89946,2019-08-22,2108,74,Средняя,Ясно,Фургон,11910.0,Ночь,Четверг,25
RT66872,2019-08-22,1373,62,Средняя,Ясно,Фургон,5491.0,Вечер,Четверг,18
RTE16692,2019-08-22,332,67,Малая,Ясно,Грузовик,16535.0,День,Четверг,4
RTE68957,2019-08-22,1095,45,Высокая,Ясно,Фургон,20328.0,Утро,Четверг,26
RTE61226,2019-08-22,1831,59,Средняя,Ясно,Прицеп,,Утро,Четверг,30
MR91184,2019-08-23,1502,46,Средняя,Дождь,Прицеп,840.0,День,Пятница,19
RT42214,2019-08-23,92,58,Малая,Дождь,Грузовик,26847.0,День,Пятница,2
RTE27381,2019-08-23,1005,48,Высокая,,Фургон,16139.0,Вечер,Пятница,23
MR12238,2019-08-23,412,47,Высокая,Дождь,Фургон,16571.0,Вечер,Пятница,7
RT72689,2019-08-23,924,63,Средняя,Дождь,Грузовик,15848.0,Вечер,Пятница,14
RT42147,2019-08-23,1679,54,Средняя,Дождь,Фургон,6122.0,Ночь,Пятница,25
MR64709,2019-08-23,181,46,Средняя,Дождь,Фургон,17559.0,Ночь,Пятница,3
RT91358,2019-08-23,157,36,Высокая,Дождь,Прицеп,27161.0,Утро,Пятница,5
RTE73286,2019-08-23,226,57,Высокая,Дождь,Прицеп,17821.0,Вечер,Пятница,7
RT89876,2019-08-24,1903,72,Малая,Ясно,,673.0,День,Суббота,23
MR52878,2019-08-24,1448,73,Средняя,Ясно,Прицеп,8866.0,День,Суббота,23
MR48942,2019-08-24,953,70,Средняя,Ясно,Фургон,11264.0,Утро,Суббота,10
MR19600,2019-08-24,1586,76,Малая,Ясно,Прицеп,8517.0,Ночь,Суббота,23
RTE69297,2019-08-24,1951,51,Малая,Ясно,Фургон,20818.0,Вечер,Суббота,31
MR13861,2019-08-24,734,104,Малая,Ясно,Грузовик,11649.0,Утро,Суббота,7
RT62546,2019-08-24,1171,85,Средняя,Ясно,Прицеп,24362.0,Вечер,Суббота,19
MR64358,2019-08-25,1259,79,Малая,Ясно,Грузовик,17645.0,Вечер,Воскресенье,19
RT38927,2019-08-25,959,58,Малая,Ясно,Грузовик,7630.0,Вечер,Воскресенье,16
MR67879,2019-08-25,1041,55,Средняя,Ясно,Прицеп,18850.0,Утро,Воскресенье,17
MR34283,2019-08-25,1383,72,Средняя,Ясно,Грузовик,2197.0,Ночь,Воскресенье,17
RT51318,2019-08-25,489,94,Малая,Ясно,Грузовик,15018.0,День,Воскресенье,7
RTE97020,2019-08-25,1250,62,Малая,Ясно,Прицеп,15166.0,Вечер,Воскресенье,21
MR41553,2019-08-26,2027,61,Средняя,Шторм,Фургон,25815.0,День,Понедельник,31
MR35030,2019-08-26,1928,60,Средняя,Шторм,Прицеп,7886.0,Ночь,Понедельник,36
RTE64310,2019-08-26,111,49,Средняя,Шторм,Грузовик,27193.0,День,Понедельник,3
MR90266,2019-08-27,86,93,Малая,,Грузовик,1981.0,Ночь,Вторник,1
MR80516,2019-08-27,1707,80,Малая,Ясно,Прицеп,6130.0,День,Вторник,21
RT83788,2019-08-27,967,71,Средняя,Ясно,Грузовик,26999.0,Вечер,Вторник,13
RT71056,2019-08-27,1193,95,Средняя,Ясно,Прицеп,29189.0,Утро,Вторник,21
RT82326,2019-08-28,293,68,Малая,Ясно,Прицеп,8194.0,Ночь,Среда,4
MR28044,2019-08-28,1010,61,Малая,Ясно,Фургон,11673.0,День,Среда,13
MR67696,2019-08-28,1107,62,Высокая,Ясно,Грузовик,4049.0,Вечер,Среда,20
MR33371,2019-08-28,674,46,Высокая,Ясно,Прицеп,14475.0,Вечер,Среда,18
RT56353,2019-08-29,2050,74,Малая,Дождь,Прицеп,18822.0,Ночь,Четверг,26
RTE54636,2019-08-29,1178,78,Малая,Дождь,Грузовик,29490.0,День,Четверг,18
MR78765,2019-08-30,1933,66,Высокая,Ясно,Грузовик,3115.0,Вечер,Пятница,31
MR29494,2019-08-30,1106,78,Средняя,Ясно,Прицеп,8570.0,Утро,Пятница,11
RT41382,2019-08-30,1084,72,Малая,Ясно,Фургон,7081.0,Ночь,Пятница,13
RT38956,2019-08-30,1451,42,Высокая,Ясно,Прицеп,17563.0,Утро,Пятница,27
MR28111,2019-08-30,429,69,Высокая,Ясно,Прицеп,18687.0,Вечер,Пятница,9
RTE11854,2019-08-30,1154,91,Малая,Ясно,Грузовик,2365.0,День,Пятница,16
RT79704,2019-08-30,353,76,Средняя,Ясно,Грузовик,19677.0,Ночь,Пятница,5
RTE41243,2019-08-31,617,83,Малая,Ясно,Грузовик,8550.0,Утро,Суббота,7
MR80013,2019-08-31,200,77,Малая,Ясно,Грузовик,11311.0,Вечер,Суббота,3
RT26143,2019-08-31,1077,76,Малая,Ясно,Фургон,19772.0,День,Суббота,12
MR49889,2019-08-31,1416,82,Малая,Ясно,Прицеп,26647.0,Вечер,Суббота,19
RT22807,2019-09-01,1641,61,Малая,Дождь,Прицеп,26032.0,Вечер,Воскресенье,29
RT13904,2019-09-01,1280,68,Малая,Дождь,Грузовик,12757.0,Утро,Воскресенье,31
RTE81400,2019-09-01,277,64,Средняя,Дождь,Фургон,8722.0,День,Воскресенье,4
RT42619,2019-09-01,1632,72,Малая,Дождь,Фургон,,Утро,Воскресенье,28
RT73511,2019-09-02,1665,37,Высокая,Туман,Прицеп,23893.0,Утро,Понедельник,49
RTE35775,2019-09-02,1555,43,Малая,Туман,Прицеп,11834.0,День,Понедельник,26
RTE28028,2019-09-02,1441,37,Высокая,Туман,Грузовик,2446.0,Вечер,Понедельник,36
MR53393,2019-09-02,312,33,Высокая,Туман,Фургон,,Вечер,Понедельник,11
RT80870,2019-09-02,943,51,Средняя,Туман,Фургон,12685.0,Утро,Понедельник,17
RTE94090,2019-09-02,194,64,Средняя,Туман,Грузовик,6631.0,День,Понедельник,3
RTE88655,2019-09-02,67,39,Малая,Туман,Грузовик,27670.0,Ночь,Понедельник,2
RTE53537,2019-09-02,1576,32,Высокая,Туман,Грузовик,25435.0,Утро,Понедельник,43
MR77808,2019-09-02,953,39,Высокая,Туман,Прицеп,947.0,Вечер,Понедельник,19
RT67617,2019-09-02,1335,34,Высокая,Туман,Прицеп,9962.0,Вечер,Понедельник,32
RT53262,2019-09-03,542,69,Средняя,,Грузовик,25935.0,День,Вторник,7
RTE29713,2019-09-03,916,56,Малая,Ясно,Фургон,28841.0,День,Вторник,19
MR55698,2019-09-03,1497,79,Средняя,Ясно,Фургон,24080.0,Утро,Вторник,26
RT96174,2019-09-03,848,74,Средняя,Ясно,Грузовик,19536.0,День,Вторник,14
RTE19887,2019-09-03,796,70,Средняя,Ясно,Прицеп,22219.0,День,Вторник,8
RTE68419,2019-09-03,1286,71,Малая,Ясно,Прицеп,9867.0,Ночь,Вторник,15
RTE21530,2019-09-04,1845,48,Малая,Дождь,Прицеп,19520.0,Ночь,Среда,32
RTE10780,2019-09-04,284,44,Средняя,,Грузовик,8669.0,Утро,Среда,7
RT79495,2019-09-04,459,52,Малая,Дождь,Грузовик,18228.0,Ночь,Среда,10
RT42551,2019-09-04,1633,59,Средняя,Дождь,Прицеп,7138.0,Утро,Среда,25
RTE41200,2019-09-04,1744,52,Высокая,Дождь,Грузовик,21936.0,Утро,Среда,41
MR90682,2019-09-05,1406,86,Малая,Ясно,Прицеп,9785.0,День,Четверг,21
RT40473,2019-09-05,374,57,Высокая,Ясно,Фургон,24061.0,Утро,Четверг,8
RTE10706,2019-09-06,771,83,Средняя,,Прицеп,1763.0,Утро,Пятница,11
RTE54360,2019-09-06,378,78,Средняя,Ясно,Фургон,28112.0,Вечер,Пятница,5
MR99044,2019-09-06,103,70,Средняя,Ясно,Грузовик,25012.0,Утро,Пятница,1
MR21151,2019-09-07,1141,72,Средняя,Дождь,Грузовик,18981.0,Ночь,Суббота,19
RT85692,2019-09-07,51,55,Средняя,Дождь,Грузовик,1406.0,День,Суббота,1
RT69206,2019-09-07,1029,62,Средняя,Дождь,Фургон,29965.0,Утро,Суббота,16
RTE57716,2019-09-07,215,59,Средняя,Дождь,Фургон,21888.0,Вечер,Суббота,5
RT29440,2019-09-07,273,82,Средняя,Дождь,Прицеп,13442.0,День,Суббота,4
RT85100,2019-09-08,1000,74,Средняя,Ясно,Прицеп,10783.0,День,Воскресенье,15
