ID заказа,Дата заказа,Тип клиента,Категория груза,Вес груза (кг),Объём груза (м³),Требуемое время доставки (дней),Расстояние до клиента (км),Особые условия,Приоритет доставки
OD89401,2019-06-05,Частный,Стройматериалы,924.2,4.56,1.0,55.0,Требуется холод,Высокий
OC95129,2019-06-05,Корпоративный,Медикаменты,137.6,0.79,1.0,89.0,Требуется холод,Высокий
OD26196,2019-06-05,Частный,Стройматериалы,2271.61,12.77,9.0,707.0,Нет,Низкий
OR88986,2019-06-05,Корпоративный,Стройматериалы,2417.02,12.5,7.0,763.0,Требуется аккуратность,Низкий
OC88489,2019-06-05,Частный,Стройматериалы,1434.68,5.84,3.0,188.0,Требуется аккуратность,Средний
OD75568,2019-06-05,Корпоративный,Одежда,483.24,2.51,1.0,85.0,Требуется холод,Высокий
OD82409,2019-06-05,Частный,Техника,2211.62,12.22,8.0,763.0,Требуется аккуратность,Низкий
OD53699,2019-06-06,Частный,Медикаменты,374.16,1.99,1.0,107.0,Требуется холод,Высокий
OC96958,2019-06-06,Корпоративный,Стройматериалы,1283.92,6.82,4.0,261.0,Требуется аккуратность,Средний
OD56958,2019-06-06,Корпоративный,Медикаменты,1392.4,7.7,3.0,,Требуется аккуратность,Средний
OD46193,2019-06-06,Частный,Техника,2442.37,12.35,11.0,708.0,Нет,Низкий
OD56321,2019-06-06,Частный,Одежда,1530.12,8.46,3.0,229.0,Нет,Средний
OC40976,2019-06-06,Корпоративный,Продукты питания,518.06,2.3,1.0,103.0,Требуется холод,Высокий
OC60172,2019-06-06,Частный,Стройматериалы,2427.5,11.69,6.0,651.0,Нет,Низкий
OC17015,2019-06-06,Частный,Медикаменты,341.02,1.81,1.0,93.0,Требуется холод,Высокий
OD62272,2019-06-06,Частный,Техника,2727.24,11.8,9.0,644.0,Требуется аккуратность,Низкий
OR50155,2019-06-06,Частный,Техника,2727.63,15.09,9.0,583.0,Требуется аккуратность,Низкий
OR32736,2019-06-06,Частный,Техника,900.97,4.66,22.0,2056.0,Требуется аккуратность,
OD88237,2019-06-07,Корпоративный,Одежда,2547.03,13.91,10.0,735.0,Нет,Низкий
OD94985,2019-06-07,Корпоративный,Медикаменты,395.81,2.26,1.0,92.0,Требуется холод,Высокий
OC75196,2019-06-07,Корпоративный,Продукты питания,1402.09,8.32,3.0,392.0,Нет,Средний
OC37571,,Корпоративный,Продукты питания,,9.16,5.0,313.0,Нет,Средний
OR36466,2019-06-07,Частный,Техника,2020.78,9.25,5.0,550.0,Требуется аккуратность,Низкий
OR12541,2019-06-07,Корпоративный,Одежда,268.52,1.5,2.0,166.0,Требуется холод,Высокий
OC17659,2019-06-07,Корпоративный,Медикаменты,721.35,3.41,1.0,55.0,Требуется холод,Высокий
OD91573,2019-06-07,Частный,Одежда,2148.63,10.68,4.0,,,Низкий
OD40281,2019-06-07,Частный,Медикаменты,468.05,2.44,1.0,81.0,Требуется холод,Высокий
OD63973,2019-06-07,Корпоративный,Техника,502.11,2.25,1.0,134.0,Требуется холод,Высокий
OR11589,2019-06-07,Корпоративный,Техника,8875.04,39.27,1.0,120.0,Нет,
OD70041,,Корпоративный,Техника,497.21,2.58,2.0,170.0,Требуется холод,Высокий
OC61292,2019-06-08,Корпоративный,Продукты питания,2310.7,12.48,6.0,678.0,Нет,Низкий
OC37546,2019-06-08,Частный,Стройматериалы,617.0,3.65,1.0,22.0,Требуется холод,Высокий
OR62390,2019-06-08,Частный,Продукты питания,2475.51,12.71,8.0,571.0,Требуется аккуратность,Низкий
OR47223,2019-06-08,Корпоративный,Одежда,569.26,2.95,1.0,16.0,Требуется холод,Высокий
OC37895,2019-06-08,Корпоративный,Одежда,2406.98,,8.0,698.0,Нет,Низкий
OR75292,2019-06-08,Частный,Одежда,2625.54,12.68,13.0,655.0,Требуется аккуратность,Низкий
OC42234,2019-06-08,Частный,Одежда,593.45,3.3,1.0,22.0,Требуется холод,Высокий
OR45715,2019-06-08,Корпоративный,Медикаменты,685.25,3.75,,115.0,Требуется холод,Высокий
,2019-06-08,Корпоративный,Стройматериалы,292.81,1.28,1.0,89.0,Требуется холод,Высокий
OD48662,2019-06-08,Корпоративный,Техника,1675.57,7.99,2.0,159.0,Требуется аккуратность,Средний
OR19694,2019-06-08,Корпоративный,Стройматериалы,3098.56,13.23,7.0,640.0,Нет,Низкий
OC93098,2019-06-08,Частный,Одежда,,2.89,4.0,201.0,Нет,Высокий
OC57440,2019-06-08,Корпоративный,Медикаменты,16986.62,71.66,3.0,306.0,Требуется холод,
OR32878,2019-06-08,Частный,Продукты питания,552.5,3.24,2.0,190.0,Нет,Высокий
OC56535,2019-06-09,Корпоративный,Техника,2820.02,15.03,11.0,680.0,Нет,Низкий
OD45875,2019-06-09,Корпоративный,Одежда,148.3,0.86,2.0,111.0,Требуется холод,Высокий
OR94731,2019-06-09,Частный,Техника,,3.05,2.0,145.0,Требуется аккуратность,Высокий
OC48202,,Корпоративный,Стройматериалы,2626.44,13.52,9.0,748.0,Требуется аккуратность,Низкий
OD54119,2019-06-09,Корпоративный,Продукты питания,10189.47,46.0,2.0,195.0,Требуется холод,
OR98607,,Частный,Медикаменты,2417.99,10.93,6.0,709.0,Нет,Низкий
,2019-06-09,Корпоративный,Стройматериалы,2699.64,12.11,,,Нет,Низкий
,2019-06-09,Частный,Продукты питания,915.47,4.24,2.0,207.0,Требуется холод,Высокий
OC23255,2019-06-09,Частный,Медикаменты,747.37,3.3,1.0,68.0,Требуется холод,Высокий
,2019-06-09,Частный,Медикаменты,410.67,1.76,1.0,14.0,Требуется холод,Высокий
OR23135,2019-06-09,Частный,Одежда,,8.34,3.0,351.0,Нет,Средний
,2019-06-09,Частный,Продукты питания,1342.59,7.78,3.0,319.0,Требуется аккуратность,Средний
OD53380,2019-06-09,Частный,Медикаменты,797.1,4.1,1.0,7.0,Требуется холод,Высокий
OR61361,2019-06-09,Частный,Медикаменты,169.55,0.75,2.0,136.0,Требуется холод,Высокий
OD72361,2019-06-09,Корпоративный,Одежда,2684.21,13.81,14.0,875.0,Требуется аккуратность,Низкий
OR97904,2019-06-09,Частный,Техника,2450.69,11.01,5.0,552.0,Нет,Низкий
OR17055,2019-06-09,Корпоративный,Стройматериалы,91.07,0.49,2.0,163.0,Требуется холод,Высокий
OD17542,2019-06-09,Частный,Техника,682.82,3.94,1.0,23.0,Требуется холод,Высокий
OD48536,2019-06-09,Корпоративный,Медикаменты,542.56,2.35,3.0,207.0,Требуется холод,Высокий
OC71911,2019-06-09,Корпоративный,Стройматериалы,2358.98,,4.0,,Нет,Низкий
,2019-06-09,Частный,Одежда,954.83,4.87,12.0,,Требуется холод,
OR82264,2019-06-10,Корпоративный,Техника,504.0,2.39,2.0,154.0,Требуется холод,Высокий
,2019-06-10,Корпоративный,Одежда,418.13,2.36,1.0,18.0,Нет,Высокий
OR43386,2019-06-10,Частный,Техника,20002.4,81.94,23.0,1771.0,Нет,
OC65250,2019-06-10,Частный,Стройматериалы,2522.99,13.6,7.0,718.0,Нет,Низкий
OC59680,,Корпоративный,Продукты питания,20592.22,108.93,11.0,,Требуется холод,
OD41484,2019-06-10,Частный,Техника,435.37,2.42,3.0,237.0,Требуется холод,Высокий
OD24020,2019-06-10,Частный,Стройматериалы,2462.16,12.56,3.0,,Нет,Низкий
OD29518,2019-06-10,Корпоративный,Одежда,460.91,2.25,1.0,40.0,Требуется холод,Высокий
OR54462,2019-06-10,Корпоративный,Одежда,,3.79,2.0,185.0,Требуется холод,Высокий
OD37166,2019-06-10,Частный,Техника,2393.57,10.79,10.0,730.0,Нет,Низкий
OC31005,2019-06-10,Корпоративный,Стройматериалы,991.97,5.71,2.0,191.0,Требуется холод,Высокий
OR13804,2019-06-10,Частный,Продукты питания,1436.66,8.31,1.0,65.0,Требуется аккуратность,Средний
OR30854,2019-06-10,Корпоративный,Продукты питания,14409.63,71.98,11.0,1278.0,,
OD84460,2019-06-10,Частный,Продукты питания,299.18,1.74,1.0,18.0,Требуется холод,Высокий
OR10302,2019-06-10,Корпоративный,Стройматериалы,373.28,1.52,4.0,277.0,Требуется холод,Высокий
OC45101,2019-06-10,Корпоративный,Одежда,1660.99,9.44,5.0,382.0,Требуется аккуратность,Средний
OD47671,2019-06-10,Частный,Стройматериалы,894.82,5.02,3.0,183.0,Требуется холод,Высокий
OC56639,2019-06-11,Корпоративный,Медикаменты,790.77,4.46,1.0,111.0,Требуется холод,Высокий
OR36168,2019-06-11,Частный,Медикаменты,666.3,3.53,4.0,253.0,Требуется холод,Высокий
OC74364,2019-06-11,Корпоративный,Техника,2371.77,12.18,10.0,916.0,Требуется аккуратность,Низкий
OR54831,2019-06-11,Корпоративный,Медикаменты,548.41,3.11,2.0,162.0,Требуется холод,Высокий
OC42775,2019-06-11,Частный,Продукты питания,2462.45,13.64,12.0,661.0,Требуется аккуратность,Низкий
OC46942,2019-06-11,Корпоративный,Стройматериалы,97.96,0.58,3.0,231.0,Нет,Высокий
OC48588,2019-06-11,Корпоративный,Продукты питания,3679.21,20.76,21.0,1347.0,Требуется аккуратность,
OD35647,2019-06-11,Корпоративный,Продукты питания,,8.07,4.0,287.0,Нет,Средний
OR27282,2019-06-11,Частный,Стройматериалы,451.32,2.1,1.0,83.0,Требуется аккуратность,Высокий
OD98413,2019-06-11,Корпоративный,Одежда,728.68,3.14,2.0,183.0,Требуется холод,Высокий
,2019-06-11,Корпоративный,Стройматериалы,8548.34,36.91,30.0,2098.0,Требуется холод,
OC16086,2019-06-11,Частный,Техника,577.64,3.3,2.0,112.0,Нет,Высокий
,2019-06-11,Корпоративный,Продукты питания,1465.75,8.03,8.0,507.0,Требуется аккуратность,Средний
OR55755,2019-06-11,Корпоративный,Одежда,1233.95,7.37,3.0,270.0,Требуется аккуратность,Средний
OD30408,2019-06-11,Корпоративный,Медикаменты,1563.21,9.05,2.0,179.0,Нет,Средний
OR81237,2019-06-11,Частный,Медикаменты,388.66,2.27,2.0,,Требуется холод,Высокий
OC82472,2019-06-11,Корпоративный,Стройматериалы,2938.69,15.76,5.0,629.0,Требуется аккуратность,Низкий
OD61257,2019-06-11,Корпоративный,Медикаменты,6798.61,31.13,13.0,1049.0,Требуется холод,
OD82260,2019-06-11,Корпоративный,Продукты питания,387.14,1.92,1.0,121.0,,Высокий
OD31570,2019-06-11,Частный,Техника,235.27,0.96,1.0,128.0,Требуется холод,Высокий
OD79640,,Корпоративный,Одежда,613.73,3.24,1.0,119.0,Требуется холод,Высокий
OD55067,2019-06-12,Частный,Техника,422.8,1.89,1.0,,Требуется аккуратность,Высокий
OD71383,2019-06-12,Корпоративный,Медикаменты,11.86,0.07,1.0,9.0,Требуется холод,Высокий
OC44980,2019-06-12,Частный,Медикаменты,314.35,1.47,1.0,108.0,Требуется холод,Высокий
OC46560,2019-06-12,Корпоративный,Медикаменты,561.27,2.79,2.0,110.0,Требуется холод,Высокий
OC19093,2019-06-12,Частный,Стройматериалы,208.36,1.02,1.0,53.0,Требуется холод,Высокий
OC67964,2019-06-12,Корпоративный,Одежда,249.32,1.23,1.0,,Требуется холод,Высокий
OC84551,,Корпоративный,Стройматериалы,1814.83,10.57,6.0,372.0,Нет,Средний
OC57011,2019-06-12,Корпоративный,Одежда,1685.06,8.5,4.0,297.0,Требуется аккуратность,Средний
,2019-06-12,Корпоративный,Одежда,546.77,2.9,1.0,86.0,Требуется холод,Высокий
OD61366,2019-06-12,Корпоративный,Стройматериалы,770.47,4.2,1.0,36.0,Требуется холод,Высокий
OC48242,2019-06-12,Частный,Одежда,2374.58,13.24,12.0,781.0,Требуется аккуратность,Низкий
OC81521,2019-06-12,Корпоративный,Медикаменты,288.43,1.24,1.0,124.0,Требуется холод,Высокий
OC14529,2019-06-12,Частный,Одежда,487.05,1.99,1.0,59.0,Требуется холод,Высокий
OD64414,2019-06-13,Частный,Одежда,1557.45,7.27,2.0,230.0,Нет,Средний
OC98727,2019-06-13,Корпоративный,Медикаменты,2622.69,10.99,6.0,628.0,,Низкий
OC47856,2019-06-13,Корпоративный,Техника,1144.11,6.25,3.0,294.0,Нет,Средний
OC68402,2019-06-13,Частный,Продукты питания,1372.63,7.84,3.0,312.0,Нет,Средний
OC65285,2019-06-13,Корпоративный,Стройматериалы,531.53,2.75,1.0,141.0,Нет,Высокий
OC38982,2019-06-13,Корпоративный,Медикаменты,2340.87,10.97,6.0,595.0,Нет,Низкий
OD98359,2019-06-13,Частный,Одежда,537.61,2.47,5.0,277.0,Требуется холод,Высокий
OR88505,,Корпоративный,Стройматериалы,2342.69,11.79,10.0,736.0,Нет,Низкий
OC52691,2019-06-13,Корпоративный,Стройматериалы,,2.11,1.0,12.0,Требуется холод,Высокий
OC92634,2019-06-13,Частный,Стройматериалы,,15.73,13.0,702.0,Требуется аккуратность,Низкий
OC43070,2019-06-14,Частный,Одежда,20664.67,,10.0,788.0,Требуется аккуратность,
OD18113,2019-06-14,Частный,Техника,327.11,1.88,0.0,,Требуется холод,Высокий
OD14429,2019-06-14,Частный,Стройматериалы,2067.59,8.91,15.0,779.0,Требуется аккуратность,Низкий
OC56892,,Корпоративный,Техника,2423.77,13.56,8.0,603.0,Нет,Низкий
OC56401,2019-06-14,Частный,Медикаменты,386.81,1.72,1.0,47.0,Требуется холод,Высокий
OD49126,2019-06-14,Корпоративный,Одежда,2381.1,10.57,14.0,712.0,Требуется аккуратность,Низкий
OR18006,2019-06-14,Частный,Одежда,189.69,0.83,0.0,,Требуется холод,Высокий
OR98949,2019-06-14,Частный,Продукты питания,2435.65,10.48,6.0,594.0,Нет,Низкий
OR92359,2019-06-14,Корпоративный,Стройматериалы,2896.74,12.04,11.0,621.0,Нет,Низкий
OR56323,2019-06-14,Корпоративный,Медикаменты,614.23,3.55,1.0,22.0,Требуется холод,Высокий
OC42977,2019-06-14,Частный,Одежда,2477.37,,6.0,621.0,Требуется аккуратность,Низкий
OC28821,2019-06-14,Частный,Одежда,898.6,3.79,11.0,1319.0,Требуется аккуратность,
OD72623,2019-06-14,Корпоративный,Одежда,648.26,2.9,1.0,42.0,Нет,Высокий
OD46505,2019-06-14,Частный,Медикаменты,867.4,4.83,22.0,1513.0,Требуется холод,
OD93484,2019-06-14,Частный,Одежда,712.83,2.97,3.0,252.0,Требуется холод,Высокий
OC29147,2019-06-14,Частный,Техника,447.37,1.96,3.0,184.0,Требуется холод,Высокий
OR45197,2019-06-14,Частный,Продукты питания,2399.71,,4.0,306.0,Требуется аккуратность,
OC92179,2019-06-14,Корпоративный,Стройматериалы,4925.85,21.97,1.0,123.0,Нет,
OC26807,,Корпоративный,Стройматериалы,332.36,1.76,1.0,100.0,Требуется холод,Высокий
OC22623,2019-06-14,Частный,Стройматериалы,1616.92,8.9,2.0,265.0,Нет,Средний
OD86104,2019-06-14,Частный,Продукты питания,2546.35,13.64,6.0,649.0,Нет,Низкий
OR11679,2019-06-15,Частный,Медикаменты,725.77,3.64,1.0,60.0,Требуется холод,Высокий
OR97409,2019-06-15,Корпоративный,Продукты питания,1296.8,7.77,2.0,274.0,Требуется аккуратность,Средний
OR35407,2019-06-15,Частный,Одежда,542.38,2.93,1.0,29.0,Требуется холод,Высокий
OC11335,2019-06-15,Частный,Медикаменты,211.46,0.96,2.0,201.0,Требуется холод,Высокий
OR66501,2019-06-15,Частный,Продукты питания,641.99,3.67,1.0,127.0,Требуется холод,Высокий
OD42298,2019-06-15,Частный,Продукты питания,629.23,3.19,1.0,45.0,Требуется холод,Высокий
OC95694,2019-06-15,Корпоративный,Техника,1498.17,8.47,6.0,306.0,Требуется аккуратность,Средний
OD14669,2019-06-15,Корпоративный,Техника,735.77,2.95,1.0,6.0,Нет,Высокий
OR82656,2019-06-15,Корпоративный,Одежда,2351.53,12.98,12.0,775.0,Требуется аккуратность,Низкий
OD63932,2019-06-15,Частный,Стройматериалы,1536.25,8.0,3.0,292.0,Требуется аккуратность,Средний
OD95033,2019-06-15,Корпоративный,Продукты питания,,9.16,5.0,357.0,Нет,Средний
OD73908,2019-06-15,Частный,Медикаменты,,3.93,,,Требуется холод,Высокий
OC51532,2019-06-15,Корпоративный,Стройматериалы,,3.21,1.0,101.0,Требуется холод,Высокий
OC39135,2019-06-15,Корпоративный,Продукты питания,1746.09,9.57,2.0,162.0,Требуется аккуратность,Средний
OC65574,2019-06-15,Частный,Медикаменты,355.91,1.94,2.0,197.0,Требуется холод,Высокий
OD91816,2019-06-15,Корпоративный,Продукты питания,1471.03,6.3,3.0,221.0,Нет,Средний
OC86542,2019-06-15,Корпоративный,Продукты питания,,12.74,9.0,714.0,Нет,Низкий
,2019-06-15,Корпоративный,Техника,376.36,2.12,1.0,79.0,Требуется холод,Высокий
OC49020,2019-06-15,Частный,Продукты питания,611.37,2.47,1.0,44.0,Нет,Высокий
OR18665,2019-06-15,Частный,Продукты питания,458.12,2.25,4.0,255.0,Требуется холод,Высокий
OC11007,2019-06-15,Корпоративный,Продукты питания,527.17,2.38,1.0,65.0,Требуется холод,Высокий
OC87512,2019-06-16,Корпоративный,Техника,709.62,3.67,1.0,69.0,Требуется холод,Высокий
OD27098,2019-06-16,Корпоративный,Техника,2347.57,12.87,7.0,749.0,Требуется аккуратность,Низкий
OD20842,2019-06-16,Частный,Одежда,,16.14,14.0,840.0,Требуется аккуратность,Низкий
OC18652,2019-06-16,Корпоративный,Продукты питания,1998.21,11.65,8.0,747.0,Требуется аккуратность,Низкий
OR78714,2019-06-16,Корпоративный,Одежда,1543.74,6.43,2.0,222.0,Требуется аккуратность,Средний
OD16892,2019-06-16,Корпоративный,Техника,200.55,1.04,2.0,227.0,Требуется холод,Высокий
OC88632,2019-06-16,Частный,Стройматериалы,342.0,1.61,3.0,195.0,Требуется холод,Высокий
OD52559,2019-06-16,Корпоративный,Медикаменты,704.39,,1.0,73.0,Требуется холод,Высокий
OC13857,2019-06-16,Корпоративный,Одежда,,3.96,1.0,45.0,Требуется холод,Высокий
OR80233,,Корпоративный,Медикаменты,234.44,1.06,3.0,192.0,Требуется холод,Высокий
OR69655,2019-06-16,Корпоративный,Продукты питания,1277.53,5.32,4.0,209.0,,Средний
OD64094,2019-06-16,Частный,Продукты питания,601.86,2.68,1.0,38.0,Требуется холод,Высокий
OC61174,2019-06-16,Частный,Техника,728.67,3.59,1.0,58.0,Требуется холод,Высокий
OC39582,2019-06-16,Частный,Техника,59.42,0.24,,120.0,Требуется холод,Высокий
OC79103,2019-06-16,Корпоративный,Одежда,5465.08,28.27,28.0,1976.0,Требуется аккуратность,
OR74773,2019-06-16,Частный,Одежда,1274.96,5.37,6.0,345.0,Нет,Средний
OC92367,2019-06-16,Корпоративный,Одежда,2472.45,12.73,11.0,672.0,Нет,Низкий
OD97374,2019-06-17,Частный,Медикаменты,829.58,3.94,3.0,284.0,Требуется холод,Высокий
OD22122,2019-06-17,Корпоративный,Техника,220.13,1.22,1.0,74.0,Требуется аккуратность,Высокий
OR74496,2019-06-17,Корпоративный,Стройматериалы,2671.93,13.03,7.0,731.0,Нет,Низкий
OC75421,2019-06-17,Корпоративный,Продукты питания,659.71,3.88,1.0,95.0,Требуется холод,Высокий
OD58740,2019-06-17,Корпоративный,Стройматериалы,2738.72,12.74,6.0,717.0,Требуется аккуратность,Низкий
,2019-06-17,Корпоративный,Одежда,1589.14,8.08,3.0,210.0,Требуется аккуратность,Средний
OC36626,2019-06-17,Корпоративный,Медикаменты,520.51,2.84,,166.0,Требуется холод,Высокий
OR92846,,Частный,Продукты питания,674.31,2.99,2.0,210.0,Требуется холод,Высокий
OD62503,2019-06-17,Частный,Стройматериалы,907.44,3.66,2.0,116.0,Требуется холод,Высокий
,2019-06-17,Корпоративный,Одежда,12466.47,69.44,23.0,1549.0,Требуется холод,
OD85724,2019-06-17,Частный,Продукты питания,606.07,2.78,2.0,172.0,Требуется холод,Высокий
OR35224,2019-06-17,Корпоративный,Стройматериалы,2969.12,12.82,5.0,,Нет,Низкий
OR73630,2019-06-17,Частный,Медикаменты,263.91,1.37,,53.0,Нет,Высокий
OD24149,2019-06-17,Частный,Продукты питания,211.36,,2.0,240.0,Требуется холод,Высокий
OD17383,2019-06-17,Корпоративный,Медикаменты,632.72,3.0,2.0,213.0,Требуется холод,Высокий
OR72801,2019-06-17,Частный,Техника,325.16,1.47,1.0,7.0,Требуется холод,Высокий
OC61348,2019-06-18,Корпоративный,Медикаменты,434.32,2.35,1.0,,Требуется холод,Высокий
OD56153,2019-06-18,Корпоративный,Продукты питания,2628.86,15.6,7.0,636.0,Требуется аккуратность,Низкий
OD99970,2019-06-18,Частный,Продукты питания,438.1,2.21,2.0,126.0,Требуется холод,Высокий
OD76169,2019-06-18,Корпоративный,Продукты питания,2472.33,13.73,8.0,773.0,Нет,Низкий
OR33053,2019-06-18,Частный,Стройматериалы,1582.63,8.99,5.0,290.0,Требуется аккуратность,Средний
OD53533,,Частный,Медикаменты,124.36,0.62,34.0,2479.0,Требуется холод,
OD35048,2019-06-18,Корпоративный,Стройматериалы,765.83,3.84,6.0,656.0,Требуется холод,
OD12590,2019-06-18,Корпоративный,Медикаменты,558.57,3.04,1.0,49.0,Требуется холод,Высокий
OR38542,2019-06-18,Корпоративный,Техника,541.43,3.17,1.0,19.0,Требуется холод,Высокий
OD21456,2019-06-18,Частный,Стройматериалы,2349.73,13.24,7.0,771.0,Требуется аккуратность,Низкий
,2019-06-18,Корпоративный,Одежда,910.25,5.06,1.0,78.0,Требуется холод,Высокий
OC43780,2019-06-18,Корпоративный,Стройматериалы,109.08,0.61,,170.0,Требуется холод,Высокий
OC49115,2019-06-18,Корпоративный,Стройматериалы,6803.63,33.61,1.0,43.0,Требуется аккуратность,
OC53631,,Частный,Стройматериалы,608.12,3.48,1.0,48.0,Требуется холод,Высокий
OC66362,2019-06-18,Частный,Одежда,753.85,3.56,1.0,113.0,Требуется холод,Высокий
OC68127,2019-06-18,Частный,Техника,2792.34,14.56,11.0,605.0,,Низкий
OC70929,2019-06-18,Корпоративный,Продукты питания,615.78,2.63,2.0,181.0,Требуется холод,Высокий
OR93593,2019-06-18,Частный,Стройматериалы,537.49,2.85,1.0,70.0,Требуется холод,Высокий
OR83487,2019-06-19,Частный,Одежда,813.7,4.48,2.0,215.0,Требуется аккуратность,Высокий
OD46261,,Корпоративный,Одежда,224.54,1.08,,191.0,Требуется холод,Высокий
OR12498,2019-06-19,Корпоративный,Медикаменты,,4.16,1.0,41.0,Требуется холод,Высокий
OD15573,2019-06-19,Корпоративный,Одежда,1691.19,8.5,2.0,204.0,Нет,Средний
,2019-06-19,Корпоративный,Продукты питания,545.05,2.2,3.0,154.0,Требуется холод,Высокий
OC40876,2019-06-19,Корпоративный,Одежда,1357.97,,4.0,266.0,Требуется аккуратность,Средний
OD55032,2019-06-19,Корпоративный,Продукты питания,1512.65,8.79,1.0,155.0,Требуется аккуратность,Средний
OC29668,2019-06-19,Корпоративный,Продукты питания,397.18,2.24,3.0,195.0,Требуется холод,Высокий
OR66818,2019-06-19,Частный,Медикаменты,336.82,1.84,2.0,151.0,Требуется холод,Высокий
OR96862,2019-06-20,Корпоративный,Стройматериалы,580.03,2.4,1.0,98.0,Нет,Высокий
OD20773,2019-06-20,Частный,Техника,1597.44,7.09,4.0,326.0,Требуется аккуратность,Средний
OR91090,2019-06-20,Частный,Медикаменты,2516.97,15.05,6.0,705.0,Требуется аккуратность,Низкий
OC55748,2019-06-20,Частный,Техника,1446.33,7.11,3.0,321.0,,Средний
OD66359,2019-06-20,Корпоративный,Продукты питания,576.17,3.32,1.0,48.0,Требуется аккуратность,Высокий
OC64771,2019-06-20,Корпоративный,Продукты питания,676.72,,,9.0,Требуется холод,Высокий
OR22128,2019-06-20,Частный,Одежда,283.72,1.52,1.0,0.0,Требуется холод,Высокий
OC95802,2019-06-20,Корпоративный,Стройматериалы,423.44,2.38,2.0,175.0,Требуется холод,Высокий
OC81878,,Частный,Техника,641.3,3.35,1.0,8.0,Требуется холод,Высокий
OR32522,,Корпоративный,Продукты питания,1784.04,7.82,4.0,358.0,Нет,Средний
OR50625,2019-06-20,Частный,Продукты питания,485.96,2.44,1.0,41.0,Требуется холод,Высокий
OC68631,2019-06-20,Частный,Продукты питания,431.25,2.45,2.0,154.0,Требуется холод,Высокий
OD36523,2019-06-20,Корпоративный,Стройматериалы,1873.81,10.91,2.0,,Нет,Средний
OD72902,2019-06-20,Корпоративный,Продукты питания,2099.65,11.37,4.0,,Требуется аккуратность,Низкий
OR62186,2019-06-20,Корпоративный,Продукты питания,541.57,2.89,1.0,45.0,,Высокий
OC73471,2019-06-20,Корпоративный,Стройматериалы,2666.89,14.02,33.0,1781.0,Требуется холод,
OD93912,2019-06-21,Частный,Продукты питания,559.19,2.87,1.0,33.0,Нет,Высокий
OC98053,2019-06-21,Частный,Одежда,2594.28,15.0,6.0,632.0,Нет,Низкий
OC71878,2019-06-21,Корпоративный,Стройматериалы,1508.91,8.36,4.0,,Нет,Средний
,2019-06-21,Частный,Медикаменты,516.37,2.81,2.0,137.0,Требуется холод,Высокий
,2019-06-21,Частный,Одежда,1433.39,6.91,3.0,345.0,Требуется аккуратность,Средний
OR24316,2019-06-21,Корпоративный,Продукты питания,1370.31,6.75,6.0,378.0,Нет,Средний
OR50347,2019-06-21,Корпоративный,Стройматериалы,1422.61,6.93,,334.0,Нет,Средний
OD52085,2019-06-21,Корпоративный,Медикаменты,567.75,3.4,1.0,,Требуется холод,Высокий
OC70227,,Частный,Стройматериалы,447.32,2.61,1.0,,Требуется холод,Высокий
OR23289,2019-06-21,Частный,Продукты питания,2312.83,9.74,16.0,864.0,Требуется аккуратность,Низкий
OR42234,2019-06-21,Частный,Стройматериалы,1606.07,,3.0,215.0,Требуется аккуратность,Средний
OD96284,2019-06-22,Частный,Техника,2624.67,12.97,8.0,622.0,Нет,Низкий
OR24762,2019-06-22,Корпоративный,Медикаменты,532.05,2.41,,39.0,Требуется холод,Высокий
OC27889,2019-06-22,Частный,Одежда,1646.82,7.57,3.0,355.0,Требуется аккуратность,Средний
OR60218,2019-06-22,Частный,Продукты питания,2324.07,9.37,7.0,723.0,Требуется аккуратность,Низкий
OR18128,2019-06-22,Частный,Одежда,1469.43,6.27,5.0,259.0,Нет,Средний
OR87778,2019-06-22,Частный,Продукты питания,2156.96,11.17,8.0,731.0,Нет,Низкий
OD51409,2019-06-22,Корпоративный,Одежда,2282.45,12.14,15.0,751.0,Нет,Низкий
OR62130,2019-06-22,Корпоративный,Одежда,2229.74,,6.0,620.0,Нет,Низкий
OR20942,2019-06-22,Корпоративный,Медикаменты,2525.36,14.92,7.0,702.0,Нет,Низкий
OR85325,2019-06-22,Корпоративный,Продукты питания,302.67,1.71,1.0,21.0,Требуется холод,Высокий
OC19053,2019-06-22,Частный,Медикаменты,948.19,4.27,4.0,213.0,Требуется холод,Высокий
OR57723,2019-06-22,Корпоративный,Техника,868.36,4.4,1.0,21.0,Требуется холод,Высокий
OD94324,2019-06-22,Частный,Медикаменты,470.56,2.07,1.0,127.0,Требуется холод,Высокий
OC73942,2019-06-22,Корпоративный,Продукты питания,,3.56,1.0,3.0,Требуется аккуратность,Высокий
OR18852,,Частный,Стройматериалы,312.31,1.54,2.0,184.0,Требуется холод,Высокий
OR33625,2019-06-23,Частный,Техника,2267.41,12.55,6.0,,Нет,Низкий
OR24314,2019-06-23,Корпоративный,Медикаменты,9194.73,50.76,12.0,1262.0,Требуется холод,
OR12352,2019-06-23,Корпоративный,Продукты питания,440.02,2.44,2.0,121.0,Требуется холод,Высокий
OC27353,2019-06-23,Корпоративный,Продукты питания,454.31,2.01,1.0,71.0,Требуется холод,Высокий
OD47743,2019-06-23,Частный,Стройматериалы,559.31,2.71,1.0,69.0,Требуется холод,Высокий
OC23379,2019-06-23,Корпоративный,Техника,2795.9,15.12,11.0,765.0,Требуется аккуратность,Низкий
