Расстояние (км),Вес груза (кг),Объём груза (м³),Плотность (кг/м³),Стоимость топлива (тенге/л),Тип груза,Тип транспорта,Зарплата водителя (тенге),Налоги и сборы (тенге),Стоимость доставки (тенге)
1635.0,19371.0,52.2,371.0,213.0,Стройматериалы,Тент,146679.0,22685.0,275766.0
2016.0,17343.0,40.5,428.0,212.0,Продукты,Грузовик,124874.0,22534.0,281767.0
718.0,26135.0,45.9,569.0,180.0,Стройматериалы,Грузовик,102985.0,23476.0,142464.0
1612.0,10801.0,33.7,321.0,199.0,Одежда,Тент,142931.0,25664.0,189707.0
2767.0,2318.0,30.5,76.0,232.0,Мебель,Грузовик,143825.0,23422.0,336455.0
1614.0,15605.0,51.0,306.0,257.0,Стройматериалы,Тент,145589.0,36228.0,304691.0
511.0,1956.0,3.2960999583528827,593.0,242.0,Продукты,Тент,151300.0,35965.0,227479.0
1882.0,5997.0,16.0,375.0,226.0,Техника,Тент,173470.0,34096.0,279689.0
1763.0,20957.0,69.2,303.0,202.0,Стройматериалы,Тент,113895.0,28255.0,252221.0
170.0,14023.0,84.7,166.0,238.0,Мебель,Грузовик,186209.0,27951.0,208972.0
363.0,1034.0,2.271203128073316,455.0,230.0,Продукты,Тент,138697.0,27216.0,222071.0
506.0,14621.0,53.0,276.0,193.0,Техника,Тент,160891.0,37648.0,183303.0
485.0,30582.0,71.0,431.0,212.0,Стройматериалы,Грузовик,174467.0,39358.0,234460.0
813.0,20386.0,29.8,684.0,247.0,Продукты,Грузовик,181314.0,35076.0,288348.0
1326.0,1187.0,3.2,371.0,191.0,Продукты,Грузовик,136492.0,30001.0,265439.0
1191.0,29158.0,38.6,755.0,236.0,Стройматериалы,Тент,108174.0,25368.0,201646.0
2775.0,1485.0,18.4,81.0,235.0,Мебель,Тент,104445.0,22658.0,325282.0
1935.0,6961.0,49.1,142.0,201.0,Мебель,Грузовик,187097.0,41678.0,353933.0
2526.0,37004.0,54.7,676.0,237.0,Продукты,Грузовик,172689.0,26529.0,352476.0
1614.0,1499.0,2.7724792018868123,541.0,233.0,Продукты,Тент,178611.0,27861.0,356389.0
343.0,7856.0,35.45558345210892,222.0,187.0,Техника,Грузовик,110510.0,19836.0,125837.0
1437.0,6125.0,17.8,344.0,205.0,Техника,Грузовик,159119.0,37062.0,234729.0
2576.0,6626.0,46.883146723933,141.0,208.0,Мебель,Грузовик,121991.0,29040.0,313882.0
666.0,1567.0,8.6,182.0,194.0,Мебель,Грузовик,140966.0,34653.0,193156.0
340.0,1408.0,13.9,101.0,216.0,Мебель,Тент,179156.0,36977.0,212796.0
1026.0,11700.0,48.2,243.0,222.0,Техника,Тент,184597.0,33117.0,266464.0
1157.0,15734.0,54.7,288.0,201.0,Стройматериалы,Грузовик,138891.0,26264.0,220662.0
926.0,20495.0,31.9,642.0,200.0,Стройматериалы,Тент,194014.0,36825.0,276481.0
463.0,1305.0,2.7112442479831045,481.0,237.0,Продукты,Тент,198493.0,35189.0,289782.0
824.0,1630.0,2.9097065910597264,560.0,244.0,Продукты,Тент,173653.0,38089.0,269516.0
2118.0,3545.0,43.8,81.0,254.0,Мебель,Грузовик,149685.0,30222.0,295988.0
1148.0,22663.0,24.3,933.0,205.0,Стройматериалы,Грузовик,,,207257.0
1839.0,391.0,0.9175308642823572,426.0,202.0,Продукты,Рефрижератор,116084.0,27218.0,310661.0
1713.0,22776.0,47.0,485.0,259.0,Стройматериалы,Грузовик,192663.0,32248.0,317015.0
1722.0,1487.0,3.2151220887510275,463.0,198.0,Продукты,Тент,129192.0,25459.0,293612.0
768.0,1855.0,3.003759947513052,618.0,217.0,Продукты,Тент,,,234156.0
1536.0,28454.0,98.7,288.0,232.0,Одежда,Тент,143782.0,23614.0,229080.0
153.0,1266.0,3.552429427914592,356.0,234.0,Продукты,Тент,128953.0,22631.0,160701.0
1266.0,1530.0,20.0,76.0,198.0,Мебель,Грузовик,154958.0,38301.0,257185.0
1806.0,4374.0,51.3,85.0,197.0,Мебель,Тент,116435.0,25167.0,237486.0
583.0,1009.0,2.3906214326224613,422.0,192.0,Продукты,Рефрижератор,143068.0,28159.0,280709.0
810.0,3100.0,12.2,254.0,258.0,Техника,Тент,176673.0,26963.0,204659.0
761.0,16709.0,24.0,696.0,230.0,Одежда,Тент,168387.0,25721.0,176834.0
288.0,13956.0,43.4,322.0,257.0,Техника,Грузовик,158044.0,31292.0,183509.0
1067.0,1272.0,10.3,123.0,210.0,Мебель,Грузовик,113065.0,24999.0,186164.0
2912.0,33991.0,55.08957900620222,617.0,222.0,Стройматериалы,Грузовик,159048.0,32767.0,323660.0
1107.0,2189.0,6.4,342.0,252.0,Продукты,Грузовик,138470.0,31295.0,255612.0
1422.0,9799.0,35.0,280.0,254.0,Техника,Тент,168396.0,40879.0,248853.0
1904.0,1299.0,10.601167177310048,123.0,237.0,Мебель,Тент,,,297089.0
2034.0,2991.0,34.1,88.0,242.0,Мебель,Тент,141603.0,23668.0,280195.0
2763.0,31228.0,15.2,2054.0,220.0,Стройматериалы,Грузовик,175643.0,35226.0,319835.0
2562.0,436.0,0.7690772097049132,567.0,185.0,Продукты,Тент,115450.0,24604.0,284173.0
2395.0,6630.0,20.7,320.0,194.0,Техника,Тент,130777.0,30481.0,240654.0
2981.0,26905.0,73.5,366.0,259.0,Стройматериалы,Тент,108464.0,19570.0,309353.0
710.0,691.0,1.78970769186361,386.0,193.0,Продукты,Тент,162609.0,32169.0,244849.0
1961.0,6785.0,13.569834849768634,500.0,226.0,Мебель,Грузовик,191876.0,45141.0,353247.0
2581.0,27653.0,82.2,336.0,208.0,Техника,Грузовик,155168.0,33808.0,296729.0
1899.0,18783.0,48.0,391.0,254.0,Стройматериалы,Грузовик,144144.0,25071.0,310953.0
3077.0,3900.0,32.4,120.0,194.0,,Грузовик,116571.0,22526.0,301396.0
361.0,3389.0,27.0,126.0,235.0,Мебель,Грузовик,190650.0,39964.0,258447.0
1363.0,20204.0,9.0,2245.0,211.0,Стройматериалы,Грузовик,141125.0,26940.0,222952.0
3021.0,5608.0,50.4,111.0,260.0,Мебель,Тент,134295.0,32678.0,369441.0
1186.0,3830.0,14.91503905722244,257.0,196.0,Техника,Грузовик,174502.0,42752.0,213276.0
2342.0,932.0,1.6185022712552304,576.0,244.0,Продукты,Рефрижератор,,,427584.0
167.0,7690.0,41.6,185.0,226.0,Мебель,Тент,140475.0,26173.0,186142.0
2100.0,7994.0,39.4,203.0,196.0,Техника,Тент,150197.0,36425.0,283379.0
2661.0,2569.0,17.1,150.0,216.0,Мебель,Тент,175001.0,37511.0,388212.0
1207.0,487.0,0.9975370451695073,488.0,226.0,Продукты,Рефрижератор,106175.0,20081.0,296223.0
142.0,8772.0,71.6,123.0,234.0,Мебель,Тент,138708.0,29444.0,163967.0
,6098.0,16.605120732398998,367.0,225.0,Мебель,Тент,187523.0,46810.0,
2539.0,1497.0,2.5,599.0,206.0,Продукты,Грузовик,162186.0,35408.0,391858.0
2199.0,1651.0,3.2443571146487105,509.0,222.0,Продукты,Тент,143105.0,29889.0,349674.0
372.0,768.0,1.4373596886576432,534.0,202.0,Продукты,Тент,168480.0,39757.0,262091.0
247.0,8586.0,16.3129676232983,526.0,188.0,Одежда,Грузовик,154250.0,26864.0,155263.0
2317.0,18902.0,52.0,364.0,255.0,Стройматериалы,Тент,180584.0,27424.0,352681.0
2450.0,7917.0,24.962895402225463,317.0,252.0,Одежда,Грузовик,187127.0,35022.0,330577.0
417.0,33875.0,76.3,444.0,216.0,Продукты,Грузовик,150351.0,36347.0,240194.0
920.0,3714.0,15.99638416736282,232.0,189.0,Техника,Грузовик,,,187714.0
2301.0,13745.0,26.3,523.0,187.0,Продукты,Грузовик,126187.0,25491.0,266005.0
1512.0,1022.0,1.8715649325953163,546.0,208.0,Продукты,Рефрижератор,174101.0,35206.0,360025.0
2924.0,7343.0,69.0,106.0,217.0,Мебель,Грузовик,104160.0,19286.0,274927.0
1464.0,12040.0,35.8,336.0,252.0,Техника,Грузовик,109953.0,21078.0,200397.0
2023.0,607.0,1.7557951260377576,346.0,202.0,Продукты,Рефрижератор,139878.0,25670.0,344324.0
1513.0,4160.0,54.1,77.0,244.0,Мебель,Грузовик,102197.0,15496.0,214864.0
2728.0,934.0,1.7917218306620344,521.0,258.0,Продукты,Рефрижератор,131654.0,20966.0,463320.0
1262.0,11954.0,22.74437913117117,526.0,255.0,Мебель,Тент,110319.0,18535.0,202046.0
758.0,6288.0,34.9,180.0,217.0,Мебель,Грузовик,187689.0,30583.0,264673.0
1057.0,4312.0,24.6,175.0,207.0,Мебель,Тент,168272.0,40142.0,281232.0
2463.0,4731.0,15.9,298.0,235.0,Техника,Тент,103194.0,16872.0,271798.0
1557.0,17614.0,55.1,320.0,210.0,Техника,Грузовик,101678.0,20292.0,174119.0
1142.0,4544.0,32.1,142.0,217.0,Мебель,Тент,109740.0,23683.0,210379.0
1619.0,13633.0,73.4,186.0,194.0,Мебель,Грузовик,112686.0,24994.0,237769.0
478.0,1456.0,13.3,109.0,250.0,Мебель,Грузовик,155676.0,27562.0,226212.0
96.0,5078.0,9.280168237548809,547.0,196.0,Мебель,Грузовик,184338.0,42816.0,209165.0
870.0,37132.0,22.7,1636.0,217.0,Стройматериалы,Грузовик,139886.0,29875.0,185386.0
1804.0,34026.0,86.5,393.0,256.0,Продукты,Грузовик,175102.0,31455.0,352320.0
2045.0,34573.0,16.2,2134.0,191.0,Стройматериалы,Грузовик,,,262912.0
2589.0,4192.0,23.2,181.0,236.0,Мебель,Грузовик,189925.0,29440.0,402239.0
2806.0,19669.0,27.3,720.0,236.0,Стройматериалы,Тент,143063.0,31349.0,365332.0
1230.0,2656.0,1.2,2213.0,188.0,Стройматериалы,Грузовик,139115.0,34704.0,238737.0
2293.0,36637.0,16.989412899293235,2156.0,248.0,Стройматериалы,Тент,163800.0,35148.0,371250.0
298.0,1325.0,8.6,154.0,248.0,Мебель,Тент,160684.0,34554.0,212587.0
257.0,17210.0,95.3,181.0,252.0,Мебель,Тент,154127.0,28890.0,194806.0
456.0,5461.0,19.0,287.0,217.0,Техника,Грузовик,112729.0,21501.0,132818.0
1368.0,1634.0,3.076513237564692,531.0,217.0,Продукты,Тент,149644.0,31289.0,279387.0
658.0,28598.0,79.3,361.0,238.0,Стройматериалы,Грузовик,146734.0,30845.0,204705.0
952.0,22161.0,58.3,380.0,227.0,Стройматериалы,Грузовик,112122.0,22898.0,196379.0
1988.0,15589.0,33.7,463.0,246.0,Стройматериалы,Тент,160069.0,34286.0,343281.0
1105.0,9495.0,60.5,157.0,248.0,Мебель,Тент,,23652.0,238067.0
1621.0,4749.0,18.2,261.0,205.0,Техника,Грузовик,142026.0,30441.0,240287.0
1242.0,588.0,1.1015568914262273,534.0,203.0,Продукты,Тент,148880.0,33086.0,246570.0
564.0,3436.0,11.6,296.0,253.0,Техника,Тент,139634.0,27362.0,167568.0
305.0,12301.0,89.9,137.0,247.0,Мебель,Тент,134692.0,26109.0,196765.0
752.0,14857.0,41.5,358.0,227.0,Техника,Грузовик,110563.0,21307.0,149180.0
258.0,29976.0,13.2,2271.0,235.0,Стройматериалы,Тент,152150.0,37290.0,211097.0
1848.0,24560.0,50.0,491.0,193.0,Стройматериалы,Тент,145470.0,35481.0,277616.0
2524.0,6874.0,26.1,263.0,196.0,Техника,Грузовик,163467.0,38590.0,262348.0
1051.0,1868.0,21.1,89.0,236.0,Мебель,Грузовик,137835.0,29615.0,230928.0
1224.0,10364.0,16.16713482486331,641.0,249.0,Мебель,Тент,182988.0,32821.0,289240.0
2392.0,6405.0,50.0,128.0,243.0,Мебель,Грузовик,151662.0,24241.0,363615.0
701.0,39424.0,99.5,396.0,208.0,Продукты,Грузовик,171541.0,30314.0,234963.0
440.0,14959.0,37.5,399.0,244.0,Техника,Грузовик,128275.0,19664.0,154097.0
1583.0,10210.0,40.5,252.0,253.0,Техника,Грузовик,184052.0,28682.0,287168.0
2028.0,12832.0,25.7,499.0,202.0,Одежда,Грузовик,177267.0,34915.0,236989.0
1774.0,4466.0,26.4,169.0,253.0,Мебель,Грузовик,198526.0,32809.0,327821.0
2072.0,17451.0,28.0,623.0,221.0,Одежда,Грузовик,111167.0,26374.0,195474.0
243.0,1082.0,1.7533925938503772,617.0,233.0,Продукты,Тент,,,216195.0
1361.0,26932.0,94.1,286.0,210.0,Техника,Грузовик,175679.0,40801.0,267345.0
765.0,6689.0,11.0,608.0,202.0,Одежда,Грузовик,174817.0,30375.0,201182.0
2370.0,14156.0,56.3,251.0,238.0,Техника,Грузовик,130164.0,30145.0,252751.0
2701.0,1898.0,19.3,98.0,249.0,Мебель,Грузовик,134404.0,32945.0,360622.0
862.0,6895.0,18.9,365.0,245.0,Техника,Тент,120048.0,18349.0,165992.0
372.0,25673.0,27.8,923.0,240.0,Стройматериалы,Грузовик,139287.0,26477.0,166257.0
859.0,28644.0,94.2,304.0,191.0,Одежда,Тент,167325.0,25798.0,199185.0
383.0,5890.0,71.1,83.0,239.0,Мебель,Грузовик,164755.0,25351.0,191708.0
1023.0,29931.0,13.8,2169.0,242.0,Стройматериалы,Грузовик,183897.0,42546.0,244720.0
1597.0,11107.0,18.1,614.0,191.0,Одежда,Грузовик,169921.0,39097.0,237025.0
2943.0,13959.0,100.3,139.0,233.0,Мебель,Грузовик,145028.0,25955.0,331318.0
1246.0,5027.0,38.8,130.0,222.0,Мебель,Тент,106988.0,18644.0,219245.0
690.0,35376.0,63.6,556.0,180.0,Одежда,Тент,171214.0,39171.0,184562.0
592.0,4730.0,26.2,181.0,186.0,Мебель,Грузовик,,,214572.0
566.0,25044.0,95.3,263.0,197.0,Техника,Грузовик,143102.0,35601.0,169470.0
616.0,4307.0,16.371583418123343,263.0,182.0,Техника,Грузовик,138871.0,21027.0,151369.0
2180.0,6085.0,20.2,301.0,233.0,Продукты,Грузовик,107303.0,16155.0,302768.0
267.0,26270.0,16.6,1583.0,225.0,Стройматериалы,Грузовик,135826.0,28806.0,164143.0
2935.0,7913.0,15.03918579170156,526.0,186.0,Мебель,Тент,102264.0,21006.0,274772.0
1561.0,6398.0,25.5,251.0,190.0,Техника,Грузовик,124730.0,30499.0,195559.0
1755.0,12617.0,29.058963861761388,434.0,260.0,Техника,Грузовик,139190.0,22741.0,243425.0
1158.0,1989.0,21.1,94.0,184.0,Мебель,Грузовик,158724.0,35401.0,259623.0
2093.0,6245.0,32.0,195.0,251.0,Мебель,Тент,133045.0,27623.0,341224.0
1450.0,10956.0,43.7,251.0,199.0,Техника,Тент,136060.0,31432.0,203369.0
993.0,5283.0,10.589254917629235,499.0,205.0,Мебель,Грузовик,138524.0,29272.0,211000.0
883.0,2355.0,11.9,198.0,193.0,Мебель,Грузовик,186449.0,29518.0,247774.0
2710.0,980.0,2.755648020369968,356.0,251.0,Продукты,Тент,126658.0,21755.0,387056.0
918.0,19202.0,8.0,2400.0,245.0,Стройматериалы,Грузовик,170055.0,42450.0,258911.0
1396.0,1092.0,7.0,156.0,208.0,Мебель,Грузовик,158736.0,39031.0,258107.0
1098.0,12994.0,40.7,319.0,220.0,Продукты,Грузовик,178912.0,39569.0,284279.0
315.0,32298.0,52.5,615.0,222.0,Стройматериалы,Грузовик,182068.0,27486.0,210591.0
599.0,25390.0,50.4,504.0,192.0,Продукты,Грузовик,197278.0,44877.0,265008.0
606.0,10235.0,44.8,228.0,207.0,Техника,Тент,141251.0,22271.0,169691.0
2165.0,16693.0,54.9,304.0,203.0,Стройматериалы,Грузовик,121809.0,25900.0,244364.0
1325.0,7948.0,14.1,564.0,245.0,Продукты,Грузовик,123836.0,24896.0,239880.0
2251.0,1812.0,3.286994846794092,551.0,218.0,Продукты,Рефрижератор,,,434545.0
2067.0,1221.0,3.213678395628602,380.0,252.0,Продукты,Тент,172079.0,37116.0,392962.0
603.0,30317.0,47.3,641.0,195.0,Одежда,Тент,137695.0,21458.0,155035.0
1744.0,21854.0,47.9,456.0,239.0,Стройматериалы,Грузовик,175254.0,30818.0,321489.0
2221.0,5006.0,34.2,146.0,255.0,Мебель,Грузовик,102456.0,23794.0,276190.0
1969.0,4751.0,35.1,135.0,237.0,Мебель,Грузовик,137361.0,32965.0,278270.0
1729.0,8585.0,38.08002390146368,225.0,213.0,Техника,Тент,172312.0,33530.0,245370.0
2263.0,7268.0,60.8,120.0,233.0,Мебель,Тент,126217.0,22510.0,298163.0
257.0,9947.0,50.5,197.0,207.0,Мебель,Тент,145798.0,23743.0,165151.0
2168.0,14101.0,26.5,532.0,200.0,Продукты,Грузовик,,,288930.0
895.0,29778.0,15.5,1921.0,182.0,Стройматериалы,Тент,196326.0,42455.0,292918.0
1642.0,11665.0,5.0,2333.0,223.0,Стройматериалы,Грузовик,176791.0,33021.0,266109.0
801.0,1888.0,3.7253049054157663,507.0,225.0,Продукты,Рефрижератор,132837.0,24224.0,290277.0
2534.0,653.0,0.9643774079526908,677.0,195.0,Продукты,Тент,175436.0,40610.0,367668.0
1533.0,1440.0,4.536957953538073,317.0,182.0,Продукты,Рефрижератор,143612.0,21888.0,351970.0
1972.0,8221.0,74.9,110.0,210.0,Мебель,Грузовик,151760.0,29564.0,275302.0
2254.0,10823.0,56.1,193.0,247.0,Мебель,Тент,109491.0,20310.0,279401.0
2564.0,968.0,2.574266284975016,376.0,205.0,Продукты,Рефрижератор,154547.0,23527.0,453611.0
2326.0,4111.0,29.0,142.0,255.0,Мебель,Тент,160477.0,27644.0,380581.0
537.0,1969.0,2.906992284027844,677.0,233.0,Продукты,Тент,113199.0,28167.0,188424.0
2504.0,305.0,0.6924804644023548,440.0,220.0,Продукты,Тент,185804.0,42101.0,440982.0
1959.0,13359.0,29.45455180564852,454.0,238.0,Техника,Грузовик,162713.0,29641.0,284749.0
1905.0,7691.0,31.4,245.0,209.0,Техника,Тент,153131.0,31031.0,281230.0
2820.0,31288.0,99.4,315.0,245.0,Стройматериалы,Грузовик,162368.0,34937.0,399887.0
798.0,5630.0,39.5,143.0,238.0,Мебель,Грузовик,112773.0,23365.0,165298.0
797.0,683.0,1.052956762018669,649.0,219.0,Продукты,Тент,138664.0,27962.0,253004.0
1519.0,2627.0,28.7,92.0,193.0,Мебель,Грузовик,172661.0,28535.0,264834.0
2246.0,32252.0,40.3,800.0,258.0,Стройматериалы,Тент,136952.0,21276.0,294081.0
1410.0,911.0,1.964700183638041,464.0,224.0,Продукты,Рефрижератор,158837.0,37562.0,400834.0
1913.0,2522.0,13.7,184.0,217.0,Мебель,Тент,167948.0,41414.0,307413.0
1317.0,824.0,1.3574661918985511,607.0,247.0,Продукты,Тент,123403.0,29936.0,290968.0
1869.0,33338.0,110.9,301.0,239.0,Одежда,Грузовик,147210.0,28182.0,211697.0
2493.0,1054.0,2.2,479.0,195.0,Одежда,Тент,134107.0,20286.0,243020.0
615.0,5617.0,15.2,370.0,188.0,Техника,Тент,196899.0,36020.0,237871.0
2070.0,1751.0,4.200426996520875,417.0,208.0,Продукты,Тент,,,314245.0
2358.0,7236.0,4.5,1608.0,259.0,Стройматериалы,Тент,124251.0,28417.0,343230.0
1344.0,3729.0,11.8,316.0,251.0,Техника,Грузовик,105314.0,22508.0,189974.0
1052.0,21916.0,24.5,895.0,235.0,Стройматериалы,Тент,183280.0,32992.0,260319.0
121.0,30419.0,76.5,398.0,245.0,Стройматериалы,Грузовик,120735.0,22121.0,150232.0
2413.0,5781.0,58.9,98.0,211.0,Мебель,Грузовик,,,287875.0
1066.0,12439.0,39.8,313.0,200.0,Одежда,Грузовик,135170.0,32055.0,182178.0
1071.0,8954.0,5.7,1571.0,255.0,Стройматериалы,Тент,183752.0,45890.0,294288.0
1056.0,9809.0,15.872604560881046,618.0,239.0,Техника,Тент,112134.0,16992.0,161006.0
1562.0,1190.0,5.2,229.0,190.0,Техника,Грузовик,179315.0,29674.0,247513.0
2069.0,7501.0,45.8,164.0,224.0,Мебель,Грузовик,119209.0,19720.0,247723.0
2301.0,4339.0,11.1,391.0,207.0,Техника,Грузовик,112787.0,23747.0,234730.0
1207.0,12041.0,36.1,334.0,245.0,Техника,Тент,121950.0,20417.0,183075.0
2090.0,1776.0,15.0,118.0,212.0,Мебель,,125795.0,25960.0,286196.0
2201.0,8011.0,14.880237211781632,538.0,202.0,Мебель,Тент,142571.0,27116.0,320154.0
956.0,1560.0,6.7,233.0,199.0,Техника,Тент,162415.0,25724.0,207383.0
371.0,29231.0,82.5,354.0,205.0,Одежда,Грузовик,144357.0,31151.0,153245.0
2637.0,1759.0,4.137566251616764,425.0,193.0,Продукты,Рефрижератор,171959.0,31592.0,446300.0
2108.0,2096.0,13.4,156.0,188.0,Мебель,Тент,123551.0,19195.0,262763.0
2005.0,27307.0,26.3,1038.0,213.0,Стройматериалы,Грузовик,118700.0,25259.0,240608.0
255.0,39699.0,68.6,579.0,245.0,Продукты,Грузовик,158031.0,38164.0,224433.0
2383.0,26714.0,54.5,490.0,249.0,Одежда,Грузовик,130983.0,21087.0,233907.0
1699.0,18091.0,78.1,232.0,227.0,Техника,Грузовик,174703.0,35991.0,291226.0
2659.0,36229.0,52.69554487582079,688.0,247.0,Одежда,Грузовик,182439.0,43614.0,300094.0
2995.0,28001.0,11.5,2435.0,257.0,Стройматериалы,Грузовик,185616.0,36981.0,395771.0
3014.0,30210.0,39.5,765.0,226.0,Стройматериалы,Грузовик,170074.0,31072.0,354271.0
2522.0,1153.0,2.166252551511958,532.0,197.0,Продукты,Тент,105399.0,21827.0,275606.0
119.0,6119.0,41.7,147.0,258.0,Мебель,Грузовик,150863.0,32530.0,181679.0
2737.0,855.0,1.933408266937456,442.0,202.0,Продукты,Тент,,,377980.0
319.0,23138.0,51.0,454.0,236.0,Стройматериалы,Грузовик,113645.0,26865.0,156970.0
2416.0,6645.0,31.2,213.0,198.0,Техника,Грузовик,132209.0,20076.0,235550.0
902.0,1379.0,3.0072858678519148,459.0,259.0,Продукты,Тент,,,262404.0
1754.0,7143.0,69.5,103.0,227.0,Мебель,Тент,130885.0,32048.0,273239.0
199.0,19486.0,31.57758204248312,617.0,255.0,Продукты,Грузовик,181993.0,35276.0,225188.0
2275.0,18147.0,37.4,485.0,232.0,Стройматериалы,Тент,194878.0,41973.0,358961.0
427.0,5197.0,48.7,107.0,235.0,Мебель,Тент,105157.0,22524.0,141528.0
1248.0,1194.0,2.630175744345021,454.0,258.0,Продукты,Тент,149215.0,36521.0,306114.0
2502.0,12701.0,44.0,289.0,212.0,Техника,Тент,171348.0,36933.0,281766.0
2085.0,1282.0,2.0563429935517754,623.0,183.0,Продукты,Тент,185686.0,44076.0,353640.0
102.0,2306.0,13.1,176.0,204.0,Мебель,Тент,141039.0,31751.0,172093.0
1217.0,422.0,1.2068569927418196,350.0,200.0,Продукты,Тент,151040.0,29483.0,272866.0
216.0,14132.0,22.8,620.0,252.0,Одежда,Грузовик,158110.0,24978.0,148060.0
2016.0,1289.0,8.0,161.0,188.0,Мебель,Тент,135730.0,30506.0,284062.0
2943.0,9085.0,38.1,238.0,257.0,Техника,Тент,189024.0,39510.0,367122.0
1879.0,12695.0,57.3,222.0,248.0,Техника,Грузовик,107960.0,26669.0,247934.0
727.0,14590.0,40.84132016011755,357.0,181.0,Техника,Грузовик,113193.0,24269.0,134210.0
1169.0,4883.0,43.9,111.0,208.0,Мебель,Тент,108075.0,23803.0,209698.0
2909.0,960.0,2.318825670729548,414.0,222.0,Продукты,Рефрижератор,170998.0,32105.0,481387.0
697.0,39344.0,63.6,619.0,223.0,Продукты,Грузовик,199360.0,43874.0,311617.0
1644.0,26796.0,38.7,692.0,223.0,Продукты,Грузовик,,,311243.0
1216.0,4365.0,31.8,137.0,186.0,Мебель,Грузовик,112275.0,22967.0,192721.0
2338.0,1383.0,3.4397613698370764,402.0,193.0,Продукты,Тент,123388.0,23297.0,294631.0
2614.0,1228.0,12.3,100.0,182.0,Мебель,Грузовик,152502.0,32270.0,296109.0
1059.0,1808.0,3.916654752084691,462.0,246.0,Продукты,Тент,185544.0,38858.0,302069.0
2015.0,11383.0,46.1,247.0,188.0,Техника,Грузовик,113980.0,20477.0,204526.0
1659.0,23679.0,51.9,456.0,214.0,Стройматериалы,Тент,174606.0,34692.0,316254.0
852.0,582.0,1.645640987746349,354.0,249.0,Продукты,Тент,120555.0,18643.0,234293.0
881.0,1320.0,2.6068966660294994,506.0,236.0,Продукты,Рефрижератор,136500.0,23314.0,296717.0
1711.0,3824.0,23.5,163.0,226.0,Мебель,Грузовик,141660.0,21856.0,279711.0
521.0,3362.0,44.3,76.0,187.0,Мебель,Грузовик,180944.0,42185.0,250956.0
2434.0,1204.0,1.9663443233449795,612.0,245.0,Продукты,Тент,127315.0,22027.0,332262.0
269.0,15340.0,25.5,602.0,254.0,Продукты,Грузовик,125475.0,30263.0,181973.0
352.0,8258.0,21.0,393.0,212.0,Одежда,Грузовик,143868.0,24275.0,153853.0
1087.0,38140.0,18.2,2096.0,216.0,Стройматериалы,Тент,121871.0,20969.0,212194.0
439.0,12532.0,41.60007497469934,301.0,246.0,Одежда,Грузовик,187415.0,30421.0,201958.0
1460.0,1700.0,10.7,159.0,183.0,Мебель,Тент,106593.0,26008.0,201597.0
1283.0,10622.0,7.0,1517.0,220.0,Стройматериалы,Грузовик,,,230863.0
2091.0,28051.0,51.6,544.0,205.0,Стройматериалы,Тент,152172.0,37857.0,317165.0
2690.0,27894.0,47.9,582.0,210.0,Стройматериалы,Тент,106923.0,25109.0,257433.0
2165.0,21792.0,42.5,513.0,241.0,Продукты,Грузовик,127463.0,27138.0,289452.0
573.0,27172.0,79.0,344.0,184.0,Техника,Грузовик,166691.0,31551.0,189129.0
2773.0,4413.0,12.5,353.0,209.0,Техника,Грузовик,118403.0,27640.0,263556.0
1151.0,7509.0,29.69531260758326,253.0,190.0,Техника,Грузовик,106108.0,16905.0,158959.0
1503.0,19527.0,62.8,311.0,231.0,Техника,Грузовик,184092.0,38531.0,266648.0
1237.0,33472.0,42.24962149743745,792.0,198.0,Стройматериалы,Тент,147327.0,25137.0,233958.0
895.0,8631.0,19.454775839951527,444.0,181.0,Одежда,Тент,163967.0,26258.0,172603.0
2594.0,33834.0,39.0,868.0,221.0,Стройматериалы,Грузовик,198229.0,31506.0,382063.0
1096.0,2589.0,1.6,1618.0,257.0,Стройматериалы,Грузовик,101713.0,15973.0,189601.0
1725.0,1762.0,12.0,147.0,238.0,Мебель,Грузовик,174794.0,29199.0,295153.0
804.0,13938.0,39.6,352.0,184.0,Техника,Тент,195748.0,46263.0,233461.0
2436.0,7634.0,49.2,155.0,233.0,Мебель,Грузовик,,,344302.0
2361.0,8051.0,66.6,121.0,194.0,Мебель,Грузовик,,,287690.0
978.0,24156.0,13.041381723363369,1852.0,237.0,Стройматериалы,Грузовик,136415.0,27214.0,224325.0
2073.0,7007.0,22.4,313.0,230.0,Одежда,Грузовик,122945.0,25369.0,220522.0
2152.0,16413.0,52.4,313.0,206.0,Техника,Тент,152289.0,34309.0,269378.0
1808.0,23898.0,15.9,1503.0,198.0,Стройматериалы,Тент,151273.0,27430.0,265723.0
1811.0,5194.0,33.2,156.0,185.0,Мебель,Грузовик,118452.0,18421.0,245695.0
1654.0,2700.0,14.4,188.0,198.0,Мебель,Тент,128198.0,25426.0,236527.0
313.0,31309.0,49.7,630.0,192.0,Стройматериалы,Тент,133447.0,22290.0,171647.0
2130.0,8213.0,13.461383955583578,610.0,260.0,Мебель,Грузовик,196142.0,38567.0,372675.0
1428.0,1154.0,2.8692670344095577,402.0,189.0,Продукты,Рефрижератор,116452.0,28447.0,272599.0
1337.0,4725.0,6.821235196554656,693.0,197.0,Мебель,Тент,,,235050.0
2661.0,1292.0,15.1,86.0,227.0,Мебель,Тент,137783.0,22688.0,337992.0
